Company Name,Ticker,P/E (Trailing 12 Months),Price/Book,Last Close,Shares Outstanding ,Market Cap ,Sector,Industry,Exchange,Last Qtr EPS,Annual Sales,Net Income ,Cash Ratio,Book Value,Long Term Debt ,Current Liabilities ,Current Assets ,Dividend ,5 Yr Hist. Div. Growth %,12 Mo Trailing EPS,S&P 500 - ETF
"Symantec Corporation","SYMC","34.72","3.44","27.43","621.54","17048.81","Computer and Technology","Computer - Software","NSDQ",".49","4019","-106","1.01146","7.98","6876","4622","5324",".3","-18.47801","1.5","YES"
"Sysco Corporation","SYY","22.69","13.73","59.68","521.92","31148.13","Consumer Staples","Food - Miscellaneous","NYSE",".66","55371.14","1142.5",".16547","4.35","7660.87011","6095.87988","8033.43017",".97","3.68239","2.63","YES"
"AT&T Inc.","T","12.04","1.59","36.72","6139","225424.09","Computer and Technology","Wireless National","NYSE",".78","160546","29450","","23.13","125972","81389","79146","1.96","2.06979","3.05","YES"
"Molson Coors Brewing  Company","TAP","17.96","1.26","78.66","215.4","16943.37","Consumer Staples","Beverages - Alcohol","NYSE",".62","13471.5","1414.19995",".2048","62.37","10598.70019","3399.30004","2189.69995","1.63999","5.92729","4.38","YES"
"Transdigm Group Incorporated","TDG","25.04","","297.78","52.2","15542.92","Aerospace","Aerospace - Defense Equipment","NYSE","2.62","3504.29","596.88",".88032","-49.81","11393.62011","870.98999","2133.55004","0","","12.42","YES"
"TE Connectivity Ltd.","TEL","20.13","3.73","102.27","351.21","35917.84","Computer and Technology","Electronics - Miscellaneous Components","NYSE","1.4","13113","1683",".47387","27.42","3634","3847","5926","1.53999","13.336","5.08","YES"
"Target Corporation","TGT","15.71","3.68","75.41","543.57","40990.84","Retail-Wholesale","Retail - Discount Stores","NYSE",".91","69495","2737","","20.49","11031","12708","11990","2.44","12.611","4.8","YES"
"Tiffany & Co.","TIF","26.64","4.09","104.17","124.28","12945.93","Retail-Wholesale","Retail - Jewelry","NYSE",".8","4001.8","446.1","","25.5","878.40002","632.79998","3573.60009","1.95","9.55459","3.91","YES"
"TJX Companies, Inc. (The)","TJX","21.07","10.61","77.96","632.3","49294.34","Retail-Wholesale","Retail - Discount Stores","NYSE","1","33183.74","2298.22998","","7.35","2227.59008","4757.6499","7750.77001","1.19749","22.29999","3.7","YES"
"Torchmark Corporation","TMK","17.99","1.95","86.51","115.45","9987.32","Finance","Insurance - Life Insurance","NYSE","1.24","4156","1454","","44.43","1133.16003","13550.88964","755.79998",".58999","9.84619","4.81","YES"
"Thermo Fisher Scientific, Inc.","TMO","22.33","3.34","211.71","400.99","84894.66","Medical","Medical - Instruments","NYSE","2.79","20918","2225",".36949","63.38","18873","6996","9435",".6","0","9.48","YES"
"Tapestry, Inc.","TPR","20.67","4.89","50.65","284.88","14429.27","Retail-Wholesale","Retail - Apparel and Shoes","NYSE","1.07","4488.3","591","4.21079","10.35","1579.5","753.79998","3953.30004","1.35",".67532","2.45","YES"
"TripAdvisor, Inc.","TRIP","75.54","4.31","42.3","138.88","5874.54","Retail-Wholesale","Internet - Commerce","NSDQ",".06","1556","-19","","9.81","230","372","993","0","","1.04","YES"
"T. Rowe Price Group, Inc.","TROW","20.68","4.71","112.3","244.44","27451.06","Finance","Financial - Investment Management","NSDQ","1.52","4793","1497.80004","","23.83","0","312.70001","2459.3999","2.27999","10.269","5.76","YES"
"The Travelers Companies, Inc.","TRV","19.22","1.6","139.74","271.43","37929.35","Finance","Insurance - Property and Casualty","NYSE","2.28","28902","2056",".07748","87.43","6571","67614","26624","2.82999","9.83489","7.27","YES"
"Tractor Supply Company","TSCO","19.72","5.81","65.86","125.12","8240.21","Retail-Wholesale","Retail - Miscellaneous","NSDQ",".91","7256.38","422.58999",".23245","11.34","433.67001","849.21002","1655.35998","1.04999","21.68099","3.34","YES"
"Tyson Foods, Inc.","TSN","13.58","2.31","75.08","368","27629.44","Consumer Staples","Food - Meat Products","NYSE","1.81","38260","1774",".33333","32.54","9297","4032","6258",".82499","45.158","5.53","YES"
"Total System Services, Inc.","TSS","27.58","6.97","88.82","183.85","16329.2","Business Services","Financial Transaction Services","NYSE",".82","4927.96","586.17999","","12.74","2628","952.47998","1039.43994",".46","2.88129","3.37","YES"
"Time Warner Inc.","TWX","14.77","2.6","94.7","779.85","73851.98","Consumer Discretionary","Media Conglomerates","NYSE","1.6","31271","5247",".24273","36.39","18294","14077","15219","1.61","9.1545","6.41","YES"
"Texas Instruments Incorporated","TXN","25.07","10.19","107.04","983.79","105304.67","Computer and Technology","Semiconductor - General","NSDQ","1.09","14961","3682","2.43534","10.51","3577","2258","8734","2.11999","18.363","4.27","YES"
