Company Name,Ticker,P/E (Trailing 12 Months),Price/Book,Last Close,Shares Outstanding ,Market Cap ,Sector,Industry,Exchange,Last Qtr EPS,Annual Sales,Net Income ,Cash Ratio,Book Value,Long Term Debt ,Current Liabilities ,Current Assets ,Dividend ,5 Yr Hist. Div. Growth %,12 Mo Trailing EPS,S&P 500 - ETF
"Agilent Technologies, Inc.","A","28.28","5.04","70.7","322.72","22816.09","Computer and Technology","Electronics - Testing Equipment","NYSE",".66","4472","684","2.27236","14.02","1801","1263","4169",".52799","1.56159","2.5","YES"
"American Airlines Group, Inc.","AAL","10.9","6.43","53.39","473.14","25260.89","Transportation","Transportation - Airline","NSDQ",".95","42207","1919",".4033","8.3","22511","14964","9146",".4","0","4.9","YES"
"Advance Auto Parts, Inc.","AAP","21.62","2.52","116.32","73.98","8605.12","Retail-Wholesale","Automotive - Retail and Wholesale - Parts","NYSE",".77","9373.78","459.61999","","46.17","1042.93994","3676.04003","5172.75976",".23999","0","5.38","YES"
"Apple Inc.","AAPL","18.04","6.35","175.5","5074.01","890489.31","Computer and Technology","Computer - Mini computers","NSDQ","3.89","229234","48351",".87405","27.63","97207","100814","128645","2.4","10.043","9.73","YES"
"AbbVie Inc.","ABBV","21.24","37","118.75","1587.97","188571.8","Medical","Large Cap Pharmaceuticals","NYSE","1.48","28216","5309","","3.21","36440","9781","16187","2.55999","12.956","5.59","YES"
"AmerisourceBergen Corporation (Holding Co)","ABC","16.19","7.52","98.42","219.67","21619.82","Medical","Medical - Dental Supplies","NYSE","1.55","153143.8","364.48001",".09465","13.09","3781.56005","26818.16015","24303.30078","1.46","15.08199","6.08","YES"
"Abbott Laboratories","ABT","23.88","3.35","59.71","1746.33","104273.6","Medical","Medical - Products","NYSE",".74","27390","477","","17.81","20681","6660","26776","1.05999","14.901","2.5","YES"
"Accenture PLC","ACN","26.63","10.46","162.95","635.28","103518.55","Business Services","Consulting Services","NYSE","1.79","36765.48","3445.13989",".53052","15.57","22.15999","9824.26953","12097.29003","2.42","10.06","6.12","YES"
"Adobe Systems Incorporated","ADBE","59.25","12.22","209.74","491.58","103103.57","Computer and Technology","Computer - Software","NSDQ","1.26","7301.5","1693.94995","1.7094","17.16","1881.42004","3527.44995","7247.81005","0","","4.32","YES"
"Analog Devices, Inc.","ADI","19.31","3.28","90.37","372.67","33678.55","Computer and Technology","Semiconductor - Analog and Mixed","NSDQ","1.45","5107.5","727.25",".69632","27.57","7551.08007","1596.32995","2351.33007","1.76999","7.6132","4.68","YES"
"Archer Daniels Midland Company","ADM","17.45","1.3","42.57","558.84","23789.78","Consumer Staples","Agriculture - Operations","NYSE",".82","60828","1595","","32.79","6636","857","8225","1.27999","12.95499","2.44","YES"
"Automatic Data Processing, Inc.","ADP","30.48","13.27","117.65","443.27","52150.71","Business Services","Outsourcing","NSDQ",".99","12379.8","1733.40002","1.0382","8.87","2002.40002","29815.90039","32658.69921","2.24","6.8481","3.86","YES"
"Alliance Data Systems Corporation","ADS","13.1","7.21","242.09","55.25","13375.23","Business Services","Financial Transaction Services","NYSE","6.26","7719.4","788.70001","","33.58","14886.90039","11897.7998","22710.80078","2.07999","","19.36","YES"
"Autodesk, Inc.","ADSK","","234.99","115.03","220.27","25337.31","Computer and Technology","Computer - Software","NSDQ","-.12","2031","-582.09998","",".49","1092","2185.3999","2460.60009","0","","-.67","YES"
"Ameren Corporation","AEE","19.84","1.87","56.35","242.6","13670.51","Utilities","Utility - Electric Power","NYSE",".39","6177","523",".19557","30.2","7094","2940","1612","1.7775","2.78909","2.84","YES"
"American Electric Power Company, Inc.","AEP","18.41","1.81","67.37","491.89","33138.29","Utilities","Utility - Electric Power","NYSE",".85","15400","1912.59997","","37.18","19037.90039","8653","4253.10009","2.39","5.3825","3.66","YES"
"The AES Corporation","AES","10.39","1.12","10.49","660.39","6927.46","Utilities","Utility - Electric Power","NYSE",".24","13586","-1130","","9.36","19160","5272","6411",".47999","33.28799","1.01","YES"
"Aetna Inc.","AET","17.86","3.62","175.55","326.94","57394.84","Medical","Medical - HMOs","NYSE","1.25","60535","1904","","48.44","8160","6814","11427","1.75","17.28199","9.83","YES"
"Aflac Incorporated","AFL","13.17","1.44","89.57","390.45","34973.05","Finance","Insurance - Accident and Health","NYSE","1.6","21667","3665","","62.4","5289","99147","6282","1.74","5.2494","6.8","YES"
"Allergan plc","AGN","9.9",".78","162.09","330.32","53541.57","Medical","Medical - Generic Drugs","NYSE","4.86","15940.7","-4125.5","1.36296","208.61","30075.30078","5616.2998","11458.2998","2.79999","","16.38","YES"
"American International Group, Inc.","AIG","26.82",".83","60.07","902.47","54211.31","Finance","Insurance - Multi line","NYSE",".57","49520","-6084","","72.81","30912","275120","63029","1.27999","40.48099","2.24","YES"
"Apartment Investment and Management Company","AIV","15.87","3.97","38.88","156.48","6083.83","Finance","REIT and Equity Trust - Residential","NYSE","1.67","1005.44","315.76998","","9.78","4088.90991","220.35","142.53999","1.44","10.47399","2.45","YES"
"Assurant, Inc.","AIZ","22.48","1.09","88.56","52.47","4647.19","Finance","Insurance - Multi line","NYSE","1.84","6415","519.59997",".05387","81.59","1068.19995","23774.90039","13160.2998","2.15","25.493","3.94","YES"
"Arthur J. Gallagher & Co.","AJG","22.55","3.01","68.99","181.43","12516.58","Finance","Insurance - Brokerage","NYSE",".82","6159.6","463.1",".61343","22.96","2691.8999","4912.2998","5170.60009","1.55999","2.63739","3.06","YES"
"Akamai Technologies, Inc.","AKAM","36.02","3.44","67.36","169.15","11394.08","Computer and Technology","Internet - Services","NSDQ",".69","2503","218.32","","19.57","662.90997","463.89999","1308.86999","0","","2.62","YES"
"Albemarle Corporation","ALB","29.39","3.25","118.75","110.5","13121.4","Basic Materials","Chemical - Diversified ","NYSE","1.08","2677.2","643.66998","","36.57","2121.70996","1140.09997","3306.6101","1.27999","6.75199","4.04","YES"
"Align Technology, Inc.","ALGN","67.97","18.47","265.07","80.18","21252.78","Medical","Medical - Dental Supplies","NSDQ","1.19","1473.41","231.41","1.61206","14.35","0","497.80999","1157","0","","3.9","YES"
"Alaska Air Group, Inc.","ALK","9.8","2.15","64.98","123","7992.35","Transportation","Transportation - Airline","NYSE",".83","7933","1034",".6474","30.25","2262","2700","2146","1.2","34.23799","6.63","YES"
"Allstate Corporation (The)","ALL","14.06","1.61","94.37","355","33501.35","Finance","Insurance - Property and Casualty","NYSE","2.09","38524","3189","","58.61","6350","71781","17837","1.48","9.5569","6.71","YES"
"Allegion PLC","ALLE","21.71","20.23","86.17","95.18","8202.09","Industrial Products","Security and Safety Services","NYSE","1.11","2408.2","229.1","","4.26","1415.59997","429.6","829.29998",".63999","23.72299","3.97","YES"
"Alexion Pharmaceuticals, Inc.","ALXN","23.46","2.96","118.93","221.68","26364.52","Medical","Medical - Biomedical and Genetics","NSDQ","1.48","3551.1","443.29998","1.85511","40.12","3063.60009","952.5","2953.8999","0","","5.86","YES"
"Applied Materials, Inc.","AMAT","15.66","7.04","57.01","1050.69","59899.66","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","NSDQ","1.06","14537","3434","1.85905","8.1","5304","4115","12918",".4","1.14719","3.64","YES"
"Advanced Micro Devices, Inc.","AMD","201.17","19.06","12.07","964.8","11645.12","Computer and Technology","Electronics - Semiconductors","NSDQ",".08","5329","43",".99798",".63","1325","1486","2622","0","",".16","YES"
"AMETEK, Inc.","AME","29.41","4.41","76.76","231.34","17757.28","Computer and Technology","Electronics - Testing Equipment","NYSE",".7","4300.17","681.46997",".63757","17.41","1866.16003","1138.66003","1934.65002",".36","9.57709","2.61","YES"
"Affiliated Managers Group, Inc.","AMG","12.99","2.31","190.01","55.58","10561.14","Finance","Financial - Investment Management","NYSE","4.68","2305","689.5",".27193","82.37","1045.69995","1616.19995","951.09997",".8","","14.63","YES"
"Amgen Inc.","AMGN","14.84","5.33","186.67","720.56","134507.31","Medical","Medical - Biomedical and Genetics","NSDQ","2.89","22849","1979","4.81208","35.03","34190","9020","49476","4.59999","24.583","12.58","YES"
"AMERIPRISE FINANCIAL SERVICES, INC.","AMP","13.04","3.95","160.28","147.93","23710.22","Finance","Financial - Investment Management","NYSE","3.26","12027","1480","","40.55","5099","12463","8405","3.24","13.005","12.29","YES"
"American Tower Corporation (REIT)","AMT","21.96","8.57","141.87","428.86","60841.8","Finance","REIT and Equity Trust - Other","NYSE",".69","5785.67","956.41998","","16.56","18294.66015","1135.32995","2090.3601","2.61999","24.808","6.46","YES"
"Amazon.com, Inc.","AMZN","328.95","26.21","1500","484.11","726160.5","Retail-Wholesale","Internet - Commerce","NSDQ","2.16","177866","3033",".53532","57.24","24743","57883","60197","0","","4.56","YES"
"Tesoro Corporation","ANDV","17.03","1.08","94.53","153.76","14535.31","Oils-Energy","Oil and Gas - Refining and Marketing","NYSE",".37","34975","1528",".25834","87.24","7668","5001","6883","2.27999","28.575","5.55","YES"
"ANSYS, Inc.","ANSS","45.32","6.01","160.89","83.87","13494.01","Computer and Technology","Computer - Software","NSDQ","1.07","1095.25","265.63","","26.78","0","539.09997","1169.40002","0","","4","YES"
"Anthem, Inc.","ANTM","19.62","2.27","235.24","255.72","60156.04","Medical","Medical - HMOs","NYSE","1.29","90039.4","3842.80004","","103.64","17382.19921","23356","36262.80078","2.7","16.416","11.99","YES"
"Aon PLC","AON","21.7","7.52","141.91","246.18","34935.4","Finance","Insurance - Brokerage","NYSE","2.35","9998","1226","","18.88","5667","2260","3763","1.40999","19.74399","6.54","YES"
"Smith (A.O.) Corporation","AOS","30.6","6.92","66.41","171.93","11417.74","Industrial Products","Manufacturing - Electronics","NYSE",".6","2996.7","296.5","1.11249","9.59","402.89999","788.5","1766.80004",".56","24.451","2.17","YES"
"Apache Corporation","APA","150.54","1.57","36.13","380.94","13763.47","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE",".33","6423","-1405","","23.08","8544","1843","3241","1","6.1433",".24","YES"
"Anadarko Petroleum Corporation","APC","","2.35","60.82","532.49","32385.86","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE",".18","11908","-456","1.26292","25.9","15547","3906","6762",".2","-27.414","-1.96","YES"
"Air Products and Chemicals, Inc.","APD","24.78","3.48","164.27","218.94","35965.11","Basic Materials","Chemical - Diversified ","NYSE","1.79","8187.6","3000.3999","1.5926","47.14","3402.3999","2489","5876.70019","3.61999","6.8962","6.63","YES"
"Amphenol Corporation","APH","27.86","6.86","90.83","305.48","27747.11","Computer and Technology","Electronics - Connectors","NYSE",".86","7011.3","650.5","1.23496","13.24","3541.5","1579.40002","4656",".69999","23.238","3.26","YES"
"Delphi Automotive PLC","APTV","14.91","7.03","93.06","265.84","24739.07","Business Services","Technology Services","NYSE","1.28","12884","1355",".5983","13.23","4132","3540","5641","1.49329","14.05599","6.24","YES"
"Alexandria Real Estate Equities, Inc.","ARE","20.37","1.94","122.65","101.24","12416.96","Finance","REIT and Equity Trust - Other","NYSE",".38","1128.1","169.08999",".36288","63.19","4764.7998","763.83001","287.44","3.45","7.04799","6.02","YES"
"Arconic Inc.","ARNC","20.77","2.48","25.13","481.42","12098.01","Basic Materials","Mining - Non Ferrous","NYSE",".31","12960","-74",".89376","10.11","6806","2824","6378",".23999","-7.5098","1.21","YES"
"Activision Blizzard, Inc","ATVI","32.46","5.76","72.07","756.1","54492.13","Consumer Discretionary","Toys - Games - Hobbies","NSDQ",".94","7017","273","1.51678","12.51","4390","3663","6520",".3","11.982","2.4","YES"
"AvalonBay Communities, Inc.","AVB","18.56","2.13","160.01","138.09","22095.46","Finance","REIT and Equity Trust - Residential","NYSE","1.72","2158.63","876.91998","","75.23","7329.47021","312.98001","67.08","5.67999","7.1511","8.62","YES"
"Broadcom Limited","AVGO","17.62","4.46","253.71","410.49","104144.66","Computer and Technology","Electronics - Semiconductors","NSDQ","4.59","17636","1692","4.71648","56.83","17431","2529","15823","4.07999","45.60699","16.01","YES"
"Avery Dennison Corporation","AVY","23.78","10.01","119.13","87.93","10474.86","Industrial Products","Office Supplies","NYSE","1.33","6613.8","281.79998",".2272","11.9","1316.30004","1971.80004","2237.8999","1.75999","11.118","5.01","YES"
"American Water Works","AWK","26.7","2.67","80.63","178.55","14396.65","Utilities","Utility - Water Supply","NYSE",".69","3357","468","","30.16","5759","2392","784","1.62","10.43999","3.02","YES"
"American Express Company","AXP","16.77","4.66","98.8","860.28","84995.57","Finance","Financial - Miscellaneous Services","NYSE","1.58","33471","2736","","21.19","56000","67000","159000","1.30999","11.17599","5.89","YES"
"Acuity Brands Inc","AYI","18.53","3.58","146.56","42.16","6178.68","Construction","Building Products - Lighting","NYSE","1.94","3505.1","321.70001",".57197","40.95","356.5","600.90002","1245.59997",".51999","0","8.41","YES"
"AutoZone, Inc.","AZO","16.23","","725","27.35","19830.93","Retail-Wholesale","Automotive - Retail and Wholesale - Parts","NYSE","9.96","10888.68","1280.85998",".09408","-55.76","5081.22998","4766.2998","4611.25","0","","44.66","YES"
"Boeing Company (The)","BA","29.52","509.44","356.66","588.49","209890.84","Aerospace","Aerospace - Defense","NYSE","4.8","93392","8197",".17757",".7","9782","56269","65161","5.67999","27.808","12.08","YES"
"Bank of America Corporation","BAC","17.6","1.34","32.03","10243.69","328105.41","Finance","Banks - Major Regional","NYSE",".47","100264","18232",".33707","23.9","227402","1752386","1590101",".38999","75.053","1.82","YES"
"Baxter International Inc.","BAX","27.45","3.94","68.36","544.83","37244.71","Medical","Medical - Products","NYSE",".64","10561","717","","17.36","2779","2744","6574",".61","-30.93601","2.49","YES"
"BB&T Corporation","BBT","17.63","1.62","55.36","778.29","43086.25","Finance","Banks - Major Regional","NYSE",".82","12156","2394",".01831","34.23","23648","168299","146393","1.25999","8.5859","3.12","YES"
"Best Buy Co., Inc.","BBY","18.2","5.27","73.17","292.33","21389.57","Retail-Wholesale","Retail - Consumer Electronics","NYSE",".78","39403","1228","","13.88","1321","7122","10516","1.36","18.642","4.02","YES"
"Becton, Dickinson and Company","BDX","22.86","2.76","220.34","266.24","58663.76","Medical","Medical - Dental Supplies","NYSE","2.48","12093","1100","4.50957","79.8","18667","3342","18633","2.92","9.8267","9.64","YES"
"Franklin Resources, Inc.","BEN","12.64","1.8","39.31","551.7","21687.48","Finance","Financial - Investment Management","NYSE",".88","6392.2","1696.69995","7.84937","21.9","1097.59997","1114.69995","9751.5996",".8","19.57099","3.11","YES"
"Brown-Forman Corportaion","BF.B","36.04","16.23","69.55","384.34","26730.64","Consumer Staples","Beverages - Alcohol","NYSE",".62","3857","669",".5402","4.29","1689","970","2351",".70499","8.79969","1.93","YES"
"Brighthouse Financial, Inc.","BHF","",".48","55.34","119.77","6628.24","Finance","Insurance - Life Insurance","NSDQ",".37","","","","115.48","","","","0","","","YES"
"Baker Hughes Incorporated","BHGE","560.6",".31","28.03","428.18","12001.77","Oils-Energy","Oil and Gas - Field Services","NYSE",".15","17259","-351",".88737","91.49","6312","8897","18499",".68999","16.62999",".05","YES"
"Biogen Inc.","BIIB","13.42","4.92","292.78","211.56","61941.41","Medical","Medical - Biomedical and Genetics","NSDQ","5.26","12273.9","2539.10009","1.53898","59.55","5935","3368.19995","7873.2998","0","","21.81","YES"
"Bank Of New York Mellon Corporation (The)","BK","15.76","1.52","56.9","1013.44","57664.85","Finance","Banks - Major Regional","NYSE",".91","16547","4090","","37.52","31007","292953","205019",".86","9.39579","3.61","YES"
"BlackRock, Inc.","BLK","24.27","2.93","549.75","161.05","88535.04","Finance","Financial - Investment Management","NYSE","6.24","12491","4970","","187.49","32707","2974","8525","10","9.743","22.65","YES"
"Ball Corporation","BLL","19.57","3.42","39.73","350.06","13907.72","Industrial Products","Containers - Metal and Glass","NYSE",".6","10983","399",".14826","11.63","6518","4094","3759",".365","6.83069","2.03","YES"
"Bristol-Myers Squibb Company","BMY","22.57","9.36","67.95","1632.58","110934.01","Medical","Large Cap Pharmaceuticals","NYSE",".68","20776","1007",".77256","7.26","6975","9563","14854","1.55999","2.5069","3.01","YES"
"Berkshire Hathaway Inc.","BRK.B","32.24","1.6","202.76","2467.18","500246.22","Finance","Insurance - Property and Casualty","NYSE","1.4","223604","24074","","126.41","0","243826","68445","0","","6.29","YES"
"Boston Scientific Corporation","BSX","21.59","5.33","27.2","1374.91","37397.58","Medical","Medical - Products","NYSE",".34","9048","105","","5.1","5420","3587","3239","0","","1.26","YES"
"BorgWarner Inc.","BWA","13.45","2.88","52.32","210.55","11015.98","Auto-Tires-Trucks","Automotive - Original Equipment","NYSE","1.07","9799.3","439.89999",".31255","18.17","2103.69995","2425.19995","3543.19995",".58999","4.3495","3.89","YES"
"Boston Properties, Inc.","BXP","19.48","2.36","120.97","154.32","18668.7","Finance","REIT and Equity Trust - Other","NYSE",".67","2602.08","462.42999","","51.21","7292.33007","3394.41992","1459.13","3.04999","3.6621","6.21","YES"
"Citigroup Inc.","C","14.46","1.08","77.08","2570","198095.61","Finance","Banks - Major Regional","NYSE","1.28","87966","-6204","","71.21","236709","1345841","1357462",".95999","133.52","5.33","YES"
"CA Inc.","CA","15.47","2.58","35.43","416.92","14771.62","Computer and Technology","Computer - Software","NSDQ",".75","4036","775",".98769","13.73","2773","3006","3733","1.01999",".54344","2.52","YES"
"Conagra Brands Inc.","CAG","19.51","3.91","36.28","400.66","14535.98","Consumer Staples","Food - Miscellaneous","NYSE",".55","7826.9","639.29998",".29968","9.27","2769.19995","1720.5","2013.19995",".89999","-3.5733","1.86","YES"
"Cardinal Health","CAH","13.23","2.86","69.31","314.71","21812.34","Medical","Medical - Dental Supplies","NYSE","1.31","129976","1288",".42391","24.21","9068","21221","28345","1.8091","12.185","5.24","YES"
"Caterpillar Inc.","CAT","23.61","7.05","162.41","597.63","97060.44","Industrial Products","Manufacturing - Construction and Mining","NYSE","2.16","45462","754",".37254","23.03","23847","26931","36244","3.09999","8.81719","6.88","YES"
"D/B/A Chubb Limited New","CB","17.96","1.31","144.01","464.22","66852.61","Finance","Insurance - Property and Casualty","NYSE","3.17","32462","3861","","110.23","11556","101550","29319","2.81999","7.71899","8.02","YES"
"CBRE Group, Inc.","CBG","16.96","3.82","45.95","339.46","15598.14","Finance","Real Estate - Operations","NYSE",".99","14209.61","691.46997","","12.02","1999.61999","4606.62011","4960.14013","0","","2.71","YES"
"CBOE Holdings, Inc.","CBOE","31.89","3.94","108.75","112.71","12256.67","Finance","Securities and Exchanges","NSDQ",".87","2229.1","400.6","","27.6","1237.90002","334","436.70001","1.03999","12.237","3.41","YES"
"CBS Corporation","CBS","12.7","11.15","55.12","400.18","22057.81","Consumer Discretionary","Broadcast Radio and Television","NYSE","1.15","13692","357",".18831","4.94","9464","3972","6273",".72","10.786","4.34","YES"
"Crown Castle International Corporation","CCI","22.82","3.64","110.44","406.28","44869.68","Finance","REIT and Equity Trust - Other","NYSE",".17","4355.6","444.54998","","30.37","16044.37011","1292.07995","1133.78002","3.9","45.887","4.84","YES"
"Carnival Corporation","CCL","18","1.52","68.76","534.17","36729.67","Consumer Discretionary","Leisure and Recreation Services","NYSE",".63","17510","2606",".10193","45.19","6993","8800","1596","1.14999","12.46899","3.82","YES"
"Cadence Design Systems, Inc.","CDNS","36.8","11.36","39.74","282.87","11241.21","Computer and Technology","Computer - Software","NSDQ",".39","1943.03","204.1","1.17741","3.5","644.35998","642.39001","979.97998","0","","1.4","YES"
"Celgene Corporation","CELG","13.94","10.39","95.61","752.18","71915.55","Medical","Medical - Biomedical and Genetics","NSDQ","2","13003","2940","4.16136","9.2","15838","2987","14892","0","","7.41","YES"
"Cerner Corporation","CERN","29.07","4.48","64.53","332.6","21462.48","Medical","Medical Info Systems","NSDQ",".58","5142.27","866.96997","1.6739","14.39","515.13","789.59002","2380.21997","0","","2.39","YES"
"CF Industries Holdings, Inc.","CF","","1.54","44.12","233.29","10292.84","Basic Materials","Fertilizers","NYSE","-.02","4130","358","1.52241","28.65","4692","580","1465","1.2","27.50399","-.26","YES"
"Citizens Financial Group, Inc.","CFG","17.65","1.13","46.43","487.33","22626.5","Finance","Financial - Savings and Loan","NYSE",".71","6454","1652",".02737","41.09","11765","117760","113323",".63999","47.506","2.63","YES"
"Church & Dwight Company, Inc.","CHD","25.32","5.53","49.12","249.93","12276.32","Consumer Staples","Soap and Cleaning Materials","NYSE",".52","3776.2","743.40002",".34609","8.87","2103.3999","935","1000.20001",".75999","7.4468","1.94","YES"
"Chesapeake Energy Corporation","CHK","3.86","","3.2","909.24","2909.58","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE",".3","9496","-4401","","-2.25","9938","3648","2142","0","0",".83","YES"
"C.H. Robinson Worldwide, Inc.","CHRW","26.62","9.08","92.63","139.73","12942.73","Transportation","Transportation - Services","NSDQ",".99","14869.38","504.89001","","10.2","750","1987.43994","2510.92993","1.80999","7.3392","3.48","YES"
"Charter Communications, Inc.","CHTR","170.59","1.83","365.06","238.51","87069","Consumer Discretionary","Cable Television","NSDQ",".86","41581","9895",".08295","199.29","68186","11090","2555","0","","2.14","YES"
"Cigna Corporation","CI","18.64","3.46","194.79","243.97","47522.33","Finance","Insurance - Multi line","NYSE","1.94","41616","2237","","56.3","5199","34347","12597",".03999","0","10.45","YES"
"Cincinnati Financial Corporation","CINF","27.66","1.51","75.8","163.9","12423.62","Finance","Insurance - Property and Casualty","NSDQ",".93","5732","1045","","50.29","851","10406","2873","2","4.6243","2.74","YES"
"Colgate-Palmolive Company","CL","24.49","253.23","70.3","875.33","61535.49","Consumer Staples","Soap and Cleaning Materials","NYSE",".75","15454","2024",".56866",".28","6566","3408","4639","1.59","4.63019","2.87","YES"
"Clorox Company (The)","CLX","23.41","22.04","129.43","129.4","16748.76","Consumer Staples","Soap and Cleaning Materials","NYSE","1.23","5973","701",".27086","5.87","1391","1809","1514","3.2","4.9783","5.53","YES"
"Comerica Incorporated","CMA","20.91","2.14","98.68","172.81","17053.19","Finance","Banks - Major Regional","NYSE","1.24","3289","743",".10072","46.08","4622","58982","58897","1.09","11.156","4.74","YES"
"Comcast Corporation","CMCSA","19.17","2.64","39.5","4644.51","183458.02","Consumer Discretionary","Cable Television","NSDQ",".49","84526","22714",".34849","14.95","59422","21561","16060",".47249","12.22099","2.06","YES"
"CME Group Inc.","CME","34.46","2.48","164.02","339.11","55621.64","Finance","Securities and Exchanges","NSDQ","1.12","3644.7","4063.3999","","66.09","2233.10009","45672.89843","46906.5","2.64","10.21","4.76","YES"
"Chipotle Mexican Grill, Inc.","CMG","47.92","6.46","315.82","27.93","8820.85","Retail-Wholesale","Retail - Restaurants","NYSE","1.34","4476.41","176.25","1.72858","48.85","0","323.89001","629.53002","0","","6.59","YES"
"Cummins Inc.","CMI","15.95","3.44","169.53","165.68","28088.24","Auto-Tires-Trucks","Automotive - Internal Combustion Engines","NYSE","3.03","20428","999",".37766","49.28","1588","5677","8928","4.21","18.002","10.63","YES"
"CMS Energy Corporation","CMS","20.21","2.77","43.86","282.42","12386.94","Utilities","Utility - Electric Power","NYSE",".51","6583","460",".27262","15.86","9214","2784","2475","1.33","6.6493","2.17","YES"
"Centene Corporation","CNC","19.97","2.54","100.45","173.5","17427.67","Medical","Medical - HMOs","NYSE",".97","48382","828","","39.56","4695","9332","8703","0","","5.03","YES"
"CenterPoint Energy, Inc.","CNP","20.09","2.55","27.73","431.05","11952.96","Utilities","Utility - Electric Power","NYSE",".33","9614","432","","10.88","7532","3080","2923","1.07","5.83059","1.38","YES"
"Capital One Financial Corporation","COF","12.78",".99","99.04","486.29","48161.86","Finance","Financial - Consumer Loans","NYSE","1.66","29999","1982",".05865","100.21","59705","244691","263830","1.6","20.68799","7.79","YES"
"Cabot Oil & Gas Corporation","COG","49.92","4.28","24.46","462.51","11312.95","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE",".13","1155.68","-417.12","","5.72","1520.53002","257.80999","715.88",".17","27.22699",".53","YES"
"Rockwell Collins, Inc.","COL","21.53","3.53","137.13","163.94","22481.5","Aerospace","Aerospace - Defense Equipment","NYSE","1.59","6822","705",".28771","38.8","6676","3069","4760","1.32","2.87849","6.37","YES"
"The Cooper Companies, Inc.","COO","23.72","3.55","230.54","49.02","11301.3","Medical","Medical - Dental Supplies","NYSE","2.65","2139","372.89999",".46074","64.88","1149.30004","396.1","953.20001",".05999","0","9.72","YES"
"ConocoPhillips","COP","78.15","2.18","57.05","1174.58","67009.67","Oils-Energy","Oil and Gas - Integrated - United States","NYSE",".45","32584","-855","","26.22","26186","6909","8609","1.05999","-24.34301",".73","YES"
"Costco Wholesale Corporation","COST","31.58","7.34","189.81","439.11","83346.7","Retail-Wholesale","Retail - Discount Stores","NSDQ","1.36","129025","2679",".34587","25.86","6573","17495","17317","1.89999","12.902","6.01","YES"
"Coty Inc.","COTY","36.42","1.65","20.76","749.86","15567.18","Consumer Staples","Cosmetics","NYSE",".32","7650.3","-422.20002",".27831","12.57","6928.2998","3803.60009","3581.5",".64999","25.718",".57","YES"
"Campbell Soup Company","CPB","14.56","6.8","44.12","300.61","13262.78","Consumer Staples","Food - Miscellaneous","NYSE","1","7890","887",".16409","6.48","2499","2395","1900","1.39999",".25648","3.03","YES"
"Salesforce.com Inc","CRM","359.25","9.4","114.96","722.3","83035.61","Computer and Technology","Computer - Software","NYSE",".39","8391.98","179.63","","12.22","2008.39001","7258.35009","5996.81982","0","","1.28","YES"
"Cisco Systems, Inc.","CSCO","19.82","4.08","44","4817.52","211970.8","Computer and Technology","Computer - Networking","NSDQ",".63","48005","9609","2.78943","10.79","25725","27583","83703","1.1","15.16399","2.45","YES"
"CSRA Inc.","CSRA","20.37","10.21","40.54","163.93","6645.56","Computer and Technology","Computers - IT Services","NYSE",".56","4993","304",".25403","3.97","2683","992","1000",".4","","1.99","YES"
"CSX Corporation","CSX","24.28","3.37","55.84","887.24","49543.26","Transportation","Transportation - Rail","NSDQ",".64","11408","5471",".30253","16.59","11790","1894","1915",".77999","7.22179","2.3","YES"
"Cintas Corporation","CTAS","33.46","7.09","169.99","106.49","18102.06","Industrial Products","Uniform and Related","NSDQ","1.31","5323.38","480.70001",".79227","23.98","2770.62011","1130.84997","1954.46997","1.33","20.072","5.08","YES"
"CenturyLink, Inc.","CTL","11.53",".83","18.21","1069","19466.54","Computer and Technology","Wireless National","NYSE",".18","17656","1389","","21.92","37283","4854","4194","2.16","0","1.58","YES"
"Cognizant Technology Solutions Corporation","CTSH","23.25","4.55","82.53","588","48527.64","Computer and Technology","Business - Software Services","NSDQ","1.03","14810","1504","","18.15","698","2839","9111",".44999","","3.78","YES"
"Citrix Systems, Inc.","CTXS","22.36","12.73","92.81","136.15","12636.17","Computer and Technology","Computer - Software","NSDQ","1.66","2824.69","-20.71","1.12323","7.29","2127.46997","1687.06994","2621.41992","0","","4.88","YES"
"CVS Health Corporation","CVS","11.51","1.83","68.16","1014.53","69150.5","Retail-Wholesale","Retail - Pharmacies and Drug Stores","NYSE","1.92","184765","6622",".08979","37.15","22181","30648","31229","2","21.603","5.92","YES"
"Chevron Corporation","CVX","27.6","1.44","112.59","1910.25","215075.39","Oils-Energy","Oil and Gas - Integrated - International","NYSE",".73","141722","9195","","78.05","35286","31785","29619","4.32","2.36549","4.08","YES"
"Concho Resources Inc.","CXO","72.08","2.56","152.81","149.07","22779.08","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE",".66","2586","-1462.43995","","59.81","2740.58007","753.17999","546.48999","0","","2.12","YES"
"Dominion Energy Inc.","D","21.04","2.62","75.52","644.57","48678","Utilities","Utility - Electric Power","NYSE",".91","12586","3136","","28.79","30231","8115","4248","3.035","7.5313","3.59","YES"
"Delta Air Lines, Inc.","DAL","10.82","2.74","53.46","712.97","38115.54","Transportation","Transportation - Airline","NYSE",".96","41244","3577",".22279","19.48","6592","18573","7844","1.01499","49.51699","4.94","YES"
