Company Name,Ticker,Cash Ratio,Net Margin,Dividend ,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,EBIT ,EBITDA ,Annual Sales,ROA (5 Yr Avg),Operating Margin 12 Mo,Inventory Turnover,Asset Utilization,Current Ratio,Debt/Equity Ratio,Debt/Total Capital,Book Value,Common Equity,Preferred Equity,Long Term Debt ,Current Liabilities ,Current Assets ,Intangibles,Inventory ,Receivables ,Current ROA (TTM),ROI (5 Yr Avg),Price as a % of 52 Wk H-L Range,52 Week Low,Last Close,Shares Outstanding ,Industry,Sector,Exchange,Div. Yield %,P/E (F1),Market Cap ,52 Week High,Beta,Last Qtr EPS,Last Reported Qtr ,Current ROI (TTM),Current ROE (TTM),Price/Book,PEG Ratio,P/E (Trailing 12 Months),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),This Yr`s Est.d Growth (F(1)/F(0)),5 Yr. Hist. EPS Growth,12 Mo Trailing EPS,Last Reported Fiscal Yr ,S&P 500 - ETF
"CME Group Inc.","CME","1.01913","1.11","2.64","10.821","2.24","164.8719","1832.09997","4063.3999","2526.30004","2643.30004","2851.80004","3644.7","2.04929","48.15","",".05055","1.04",".1","8.93169","67.09","22411.80078","0","2233.10009","45672.89843","46906.5","27090.5996","0","359.70001","2.43","5.6304","80.96","115.12","160.7","339.44","Securities and Exchanges","Finance","NSDQ","1.74","23.66","54547.68","171.42",".57","1.86","20180301","7.69","8.48","2.4","2.25","29.76","6.34","1.38","42.4","13.24","5.4","20171231","YES"
"Chipotle Mexican Grill, Inc.","CMG","1.72858",".04","0","","0","668.64367","351.79299","176.25","275.73999","275.73999","439.07998","4476.41","13.237","4.43","193.05599","2.20199","1.72","0","0","48.84","1364.43994","0","0","323.89001","629.53002","21.93","19.86","49.79999","9.75","17.451","80.14","251.33","438.58","27.93","Retail - Restaurants","Retail-Wholesale","NYSE","0","51.94","12249.66","484.99",".49","2.13","20180301","14.5","14.5","8.98","2.84","61.6","7.22","14.65","27.93","-21.1","7.12","20171231","YES"
"Cummins Inc.","CMI",".37766",".05","4.21","16.284","2.57","-28.33573","2359","999","2365","2446","3029","20428","10.33199","9","5.11639","1.21089","1.58",".19","15.92199","50.35","8164","0","1588","5677","8928","2055","3166","3618","10.9","17.09799","5.74","143.55","146.36","164.77","Automotive - Internal Combustion Engines","Auto-Tires-Trucks","NYSE","2.95","10.89","24116.16","192.5","1.24","3.3","20180301","19.67","23.47","2.91",".96","12.65","2.43","16.67","26.55","6.28","11.57","20171231","YES"
"CMS Energy Corporation","CMS",".27262",".07","1.33","7.0503","3.25","-16.51543","1491","460","886","1326","2207","6583","2.6844","9.71","6.76749",".2984",".89","1.96","66.219","16.4","4478","0","9214","2784","2475","0","672","1044","2.9","4.33529","26.31","41.77","44.08","282.53","Utility - Electric Power","Utilities","NYSE","3.24","18.9","12453.76","50.55",".06",".86","20180301","4.75","14.33","2.69","2.98","19","-1.41","2.88","7.51","6.43","2.32","20171231","YES"
"Centene Corporation","CNC",".56686",".02","0","","0","47.33095","1250","828","1134","1389","1750","48382","4.67469","2.16","","2.1946","1.01",".68","40.596","36.94","6864","0","4695","9332","8703","6147","0","3413","4.75","9.21269","95.28","72.63","114.57","205.18","Medical - HMOs","Medical","NYSE","0","16.25","23507.33","116.65",".75","2.17","20180301","9.18","15.69","2.7","1.11","18.84","46.33","19.15","40.2","41.45","6.08","20171231","YES"
"CenterPoint Energy, Inc.","CNP",".65102",".19","1.07","5.59959","4.2","314.81481","1653","1792","1063","1453","2513","9614","2.4748","6.76","19.846",".44931","1.17","1.68","62.733","11.26","4688","0","8195","3069","3395","867","397","1000","3.04","4.59259","6.69","24.92","25.29","431.47","Utility - Electric Power","Utilities","NYSE","4.39","15.89","10911.96","30.45",".5",".55","20180301","5.63","16.22","2.25","3.01","16.21",".9","27.71","16.18",".81","1.56","20171231","YES"
"Capital One Financial Corporation","COF",".05865",".07","1.6","8.66069","1.82","-47.16076","6526.0581","1982","5492","6652","9092","29999","1.32","15.15","1.48629",".08341","1.02","1.02","50.41999","101.15","48730","0","59705","244691","263830","14533","971","248507","1.26","4.70009","68.84","76.92","96.74","486.43","Financial - Consumer Loans","Finance","NYSE","1.65","9.69","47057.64","105.71","1.32","2.65","20180301","4.39","9.23",".96",".92","11.13","5.88","9.01","35.43",".8","8.69","20171231","YES"
"Cabot Oil & Gas Corporation","COG",".76863",".06",".17","29.37",".37","124.06741","795.98297","100.38999","-228.43","-146.30001","427.29","1764.22","3.27519","15.69","52.48099",".35069","2.42",".51","33.609","5.33","2523.8999","0","1217.89001","630.04998","764.95001","0","8","272.67001","5.5","4.65199","23.3","21.5","23.35","451.49","Oil and Gas - Exploration and Production - United States","Oils-Energy","NYSE","1.03","21.67","10542.24","29.44",".4",".28","20180301","6.98","10.56","4.38",".72","37.66","-4.99","52.66","103.3","-20.34",".62","20171231","YES"
"Rockwell Collins, Inc.","COL",".28771",".1","1.32","2.78999","1.44","-3.15935","1304.19201","705","931","1118","1517","6822","9.22469","13.24","2.4374",".46645","1.61",".97","49.297","40.43","6050","0","6676","3069","4760","11287","2451","1426","6.17","19.99799","90.82","102.05","135.98","164.23","Aerospace - Defense Equipment","Aerospace","NYSE",".97","18.86","22332.07","139.41",".71","1.81","20180301","8.71","18.2","3.36","1.78","19.88","9.64","29.72","17.26","8.52","6.84","20170930","YES"
"The Cooper Companies, Inc.","COO",".46074",".17",".05999","0",".04","36.14458","669.42797","372.89999","394","427.39999","615.79998","2139","9.35249","23.42","1.7401",".43173","2.83","","42.915","64.39","3175.80004","0","1149.30004","396.1","953.20001","2859.5","454.1","316.6","10.11","10.651","47.04","209.41","230.81","49.02","Medical - Dental Supplies","Medical","NYSE",".03","19.53","11314.63","254.9",".62","2.79","20180101","11.35","16.9","3.58","1.82","21.82","7.61","8.75","21.86","12.54","10.58","20171031","YES"
"ConocoPhillips","COP","1.18463","-.03","1.05999","-24.91201","3.53","76.34854","7946","-855","-2615","-1517","5690","32584","1.6596","6.08","17.84199",".45493","1.86",".54","35.23099","26.25","30801","0","17128","9397","16512","0","1060","4320","2.76","2.821","100","42.5","70.66","1170.07","Oil and Gas - Integrated - United States","Oils-Energy","NYSE","1.61","19.6","82676.88","70.66","1.22",".96","20180301","4.19","6.69","2.69","2.18","41.32","-18.18","33.76","500.73","-52.67","1.71","20171231","YES"
"Costco Wholesale Corporation","COST",".34587",".02","1.89999","12.16899","1.1","14","3934.35595","2679","4039","4173","5543","129025","6.80789","2.03","11.38799","3.6243","1",".54","35.05199","27.47","11079","0","6573","17495","17317","0","9834","1432","7.37","14.241","100","150.44","199.6","438.82","Retail - Discount Stores","Retail-Wholesale","NSDQ","1.14","29.02","87588.53","199.6",".95","1.42","20180201","16.48","24.74","7.27","2.77","31.89","4.79","8.68","18.18","6.89","6.26","20170831","YES"
"Coty Inc.","COTY",".27831","-.06",".64999","26.979","1.37","-369.08863","963.59997","-422.20002","-658","-439.4","115.69999","7650.3","4.4951","4.35","3.0933",".40029",".99",".8","46.61199","12.67","9317.70019","0","6928.2998","3803.60009","3581.5","16980.69921","1052.59997","1470.30004","1.74","7.2052","1.47","14.07","14.18","749.86","Cosmetics","Consumer Staples","NYSE","3.53","20.66","10633.07","21.53",".38",".13","20180301","2.34","4.31","1.12","1.59","25.78","15","75.91","8.93","-.2",".55","20170630","YES"
"Campbell Soup Company","CPB",".16409",".11","1.39999","2.44959","2.65","57.54884","1250","887","1293","1405","1723","7890","10.58699","11.66","5.5145","1.00549",".64","","53.55099","6.48","1645","0","2499","2395","1900","3233","902","605","11.72","21.82099","0","39.22","39.22","300.61","Food - Miscellaneous","Consumer Staples","NYSE","3.57","12.63","11789.81","58.96",".33","1","20180101","22.82","54.1","6.05","2.23","12.94","-1.54","-.89","2.14","4.84","3.03","20170731","YES"
"Salesforce.com Inc","CRM",".53042",".01","0","","0","-29.03747","1583.38793","127.47","202.1","289.04","1537.56005","10480.01","-.32827","3.19","",".57441",".92","","6.92609","13","9388.49023","0","698.64001","10129.51953","9290.37011","8140.54003","0","3917.3999","1.83","-.69294","89.74","86","126.05","731.27","Computer - Software","Computer and Technology","NYSE","0","59.09","92176.3","130.63","1.24",".35","20180101","3.58","3.86","9.7","2.44","93.37","27.29","24.88","58.02","125.56","1.35","20180131","YES"
"Cisco Systems, Inc.","CSCO","2.78943",".2","1.1","14.22399","3.14","-10.5224","13164.25","9609","12287","13148","15434","48005","9.4413","23.07","10.35299",".38444","2.34",".44","30.354","9.69","66137","0","25725","27583","83703","32305","1616","5146","8.87","13.02499","82.17","30.37","43.46","4817.52","Computer - Networking","Computer and Technology","NSDQ","3.04","16.9","209369.33","46.3","1.14",".66","20180401","13.69","19.48","4.49","2.82","17.32",".26","-2.52","7.62","4.69","2.51","20170731","YES"
"CSX Corporation","CSX",".30253",".48",".77999","7.4822","2.11","219.19486","3412","5471","3142","3688","5003","11408","5.7367","20.34","8.59959",".31573","1.87",".96","48.894","16.44","14721","0","11790","1894","1915","0","372","970","6.42","9.13399","100","48.14","63.52","875.35","Transportation - Rail","Transportation","NSDQ","1.39","19.6","55602.46","63.52","1.2",".78","20180301","9.22","18","3.86","1.47","24.72","-2","3.06","40.91","4.28","2.57","20171231","YES"
"Cintas Corporation","CTAS",".79227",".09","1.33","20.87899","1.12","-30.68693","689.57598","480.70001","687.40002","773.91998","970.51","5323.38","9.2109","9.3","12.63199",".91835","2.16",".88","46.691","27.13","2302.79003","0","2770.62011","1130.84997","1954.46997","3369.32006","278.20999","780.32","8.54","12.324","97.4","120.17","182.25","106.72","Uniform and Related","Industrial Products","NSDQ",".89","31.28","19449.88","183.91",".9","1.37","20180201","11.4","22.86","6.72","2.61","34.13","6.99","8.52","28.62","17.98","5.34","20170531","YES"
"CenturyLink, Inc.","CTL",".33703",".08","2.16","0","7.82","121.88498","4868","1389","540","2021","5966","17656","2.78679","4.65","",".30796",".88","1.58","61.17599","21.73","23491","0","37283","4857","4194","43248","0","2557","1.43","3.94239","41.13","13.62","19.25","1078.85","Wireless National","Computer and Technology","NYSE","11.22","21.68","20767.79","27.31",".76",".25","20180301","1.83","4.94",".88","-14.45","14.69","-.72","1.06","-39.59","-9.71","1.31","20171231","YES"
"Cognizant Technology Solutions Corporation","CTSH","2.07432",".1",".44999","",".16","-3.15519","2541.1499","1504","2655","2678","3121","14810","15.201","14.55","","1.03269","3.64",".06","5.77139","18.75","10669","0","698","2839","9111","3685","0","3222","15.02","19.35","55.48","64.5","75.78","585.9","Business - Software Services","Computer and Technology","NSDQ","1.06","16.9","44399.35","84.83","1.07","1.06","20180301","19.22","20.48","4.04","1.34","18.94","14.32","9.81","18.97","14.52","4","20171231","YES"
"Citrix Systems, Inc.","CTXS","1.12323","-.01","0","","0","-103.86302","841.15197","-20.71","550.34002","601.94","810.25","2824.69","10.222","23.35","32.06",".52252","1.36","4.08","80.33","3.86","992.46002","0","2127.46997","1687.06994","2621.41992","1756.43994","13.90999","712.53002","12.2","17.31299","92.46","74.52","105.65","135.52","Computer - Software","Computer and Technology","NSDQ","0","20.05","14318.26","108.19","1.29","1.29","20180301","21.53","49.52","27.36","2.22","20.32","1.12","-17.36","8.64","19.47","5.2","20171231","YES"
"CVS Health Corporation","CVS",".08979",".04","2","21.076","1.81","24.54391","8702","6622","8268","9309","11969","184765","6.86889","3.41","10.736","1.78939","2.37","1.59","61.41099","38.04","37695","0","22181","30648","31229","52081","15296","13181","6.1","10.13799","22.41","60.6","65.76","1016.65","Retail - Pharmacies and Drug Stores","Retail-Wholesale","NYSE","3.04","9.69","66854.66","83.63","1.02","1.48","20180301","9.12","17.45","1.73","1.01","10.56","10.29","4.08","15.05","10.79","6.23","20171231","YES"
"Chevron Corporation","CVX",".27479",".06","4.32","1.7604","3.91","1950.10058","26370","9195","9221","9528","28877","141722","4.5135","5.95","15.338",".57279","1.04",".21","17.04599","79.34","149319","0","33571","27737","28560","4531","5585","15353","3.41","6.702","86.45","103.04","129.46","1910.25","Oil and Gas - Integrated - International","Oils-Energy","NYSE","3.46","17.41","247301.38","133.6","1.14","1.9","20180301","4.76","5.83","1.63","2.49","28.33","-14.73","23.8","101.02","-35.21","4.57","20171231","YES"
"Concho Resources Inc.","CXO",".03004",".37","0","","0","165.38987","1457","956","881","1027","2173","2586","2.52579","13.39","109.27999",".21172",".65",".24","19.57399","65.32","8915","0","2691","1165","592","26","14","543","2.83","3.22539","87.43","108.05","154.92","149.07","Oil and Gas - Exploration and Production - United States","Oils-Energy","NYSE","0","31.6","23094.2","161.66",".99","1","20180301","3.36","4.34","2.37","","58.9","-2.08","58.17","134.59","-25.14","2.63","20171231","YES"
"Dominion Energy Inc.","D",".11114",".24","3.035","8.08909","3.69","41.26236","4491","2999","3090","4295","6497","12586","3.6136","19.1","4.19859",".1671",".46","1.55","60.826","30.71","19370","0","30948","9636","4334","7090","1477","1786","3.19","5.7121","4.54","62.67","63.68","652.55","Utility - Electric Power","Utilities","NYSE","5.24","15.59","41554.51","84.91",".27","1.14","20180301","4.88","12.88","2.07","2.56","16.94","-1.75","7.27","13.49","3.46","3.76","20171231","YES"
"Delta Air Lines, Inc.","DAL",".22279",".09","1.01499","49.04","1.23","-18.20261","5803","3577","5701","6097","8332","41244","6.49249","8.4","25.989",".79698",".39",".51","33.62099","17.9","13910","0","6592","18573","7844","14641","1329","2377","6.69","19.37199","52.88","45.21","53.1","701.48","Transportation - Airline","Transportation","NYSE","2.3","8.63","37248.43","60.13","1.09",".74","20180301","17.15","26.19","2.97","","10.81","1.74","4.05","24.77","15.83","4.91","20171231","YES"
"Deere & Company","DE","1.72077",".07","2.4","3.7339","2.48","41.68252","3874.60009","2159.10009","3153.80004","4053.30004","5768.7998","29737.7","4.12349","7.69","4.4173",".48921","1.98","","74.04799","28.66","9560.5","0","25891.30078","22692.90039","48114.30078","1251.30004","3904.10009","5160.7998","3.76","7.66669","58.04","112.67","146.81","323.79","Manufacturing - Farm Equipment","Industrial Products","NYSE","1.63","15.44","47535.29","171.49",".81","1.31","20180101","7.1","27.18","5.12","2.73","20","-7.77","11.61","42.32","-11.26","7.34","20171031","YES"
"Discover Financial Services","DFS",".21293",".18","1.29999","12.98999","1.81","-12.28584","2296.47998","2099","3537","4339","4333","11545","2.8401","20.15","",".12061","1.5","2.55","70.70999","29.54","10329","563","26326","62869","95014","418","0","81627","2.43","7.1297","85.29","57.66","77.83","348.98","Financial - Consumer Loans","Finance","NYSE","1.8","10.14","27160.89","81.31","1.47","1.82","20180301","6.38","22.79","2.63",".96","12.24","6.6","9.98","28.31","5.09","6.36","20171231","YES"
"Dollar General Corporation","DG",".17895",".07","1.03999","33.381",".72","23.00559","1632.39001","1538.95996","1907.28002","2004.31005","2408.54003","23470.97","10.19099","5.32","4.65299","1.92349","1.43","","29.83399","22.56","6125.77001","0","2604.6101","2964.87011","4247.85009","5539.00976","3609.02001","108.26","10.24","14.03699","76.12","69.04","96.67","271.56","Retail - Discount Stores","Retail-Wholesale","NYSE","1.2","16.07","26252.05","105.34","1.01","1.48","20180101","14.82","21.65","4.29","1.1","21.06","7.85","6.75","33.95","10.61","4.59","20180131","YES"
"Quest Diagnostics Incorporated","DGX",".27152",".1","1.79999","10.567","2","19.68992","1007","772","1030","1181","1451","7709","6.6859","9.83","51.39799",".73612","1.23",".73","42.82799","37.28","4955","0","3748","1057","1306","7454","95","924","7.23","8.2291","53.45","90.86","101.71","135.82","Medical - Outpatient and Home Healthcare","Medical","NYSE","1.97","15.39","13813.97","111.16",".71","1.52","20180301","8.68","15.44","2.73","2.01","17.42","1.55","2.58","22.38","9.34","5.84","20171231","YES"
"D.R. Horton, Inc.","DHI","1.02491",".07",".4","30.99699",".97","17.16123","1098.09997","1038.40002","1602.09997","1602.09997","1661.80004","14091","7.0685","8.31","1.20759","1.197","7.36",".39","27.86499","22.18","7747.60009","0","2871.60009","1565.40002","10841.5","80","9237.0996","0","9.94","8.14869","43.11","32.69","41.39","377.42","Building Products - Home Builders","Construction","NYSE","1.21","11.41","15621.21","52.87","1.11",".91","20180301","11.4","15.83","1.87","1.14","12.7","23.09","15.9","32.35","21.09","3.26","20170930","YES"
"Danaher Corporation","DHR",".31037",".14",".56","36.477",".52","-2.41219","4082.333","2492.10009","2938.80004","3101.5","4339.7998","18329.7","6.8807","15.67","4.45149",".40626","1.59",".38","27.679","38.94","26367.80078","0","10327.40039","4792.2998","6850","36805.69921","1840.80004","3521.80004","6.36","9.25259","87.68","79.29","100.78","698.57","Diversified Operations","Conglomerates","NYSE",".64","22.66","70402.16","103.8","1.03",".99","20180301","8.05","11.39","2.59","1.89","24.17","-.58","8.57","10.38","5.05","4.17","20171231","YES"
"The Walt Disney Company","DIS",".30022",".16","1.55999","20.33399","1.23","-4.37654","12165","8980","13788","14173","16955","55137","9.5921","17.34","23.63299",".59254",".85",".39","29.04599","32.64","45004","0","19119","19595","15889","38421","1373","8633","10.27","13.616","47.75","96.91","104.34","1490.52","Media Conglomerates","Consumer Discretionary","NYSE","1.61","14.81","155521.2","112.47","1.29","1.84","20180301","14.78","21.13","3.22","1.47","16.35","5.38","-.89","23.61","13.85","6.38","20170930","YES"
"Discovery Communications, Inc.","DISCA","4.35756","-.05","0","","0","-128.22446","4863","-337","-137","338","3905","6873","7.48579","16.27","",".31363","1.83","2","67.174","18.37","4610","0","14755","1871","9991","8843","0","1838","5.1","8.90769","61.83","16.28","23.02","522.14","Broadcast Radio and Television","Consumer Discretionary","NSDQ","0","8.3","12019.69","27.18","1.52",".53","20180301","5.89","19.34",".92",".57","10.91","6.01","5.79","23.79","-10.69","2.11","20171231","YES"
"Discovery Communications, Inc.","DISCK","4.35756","-.05","0","","0","-128.22446","4863","-337","-137","338","3905","6873","7.48579","16.27","",".31363","1.83","2","67.174","18.37","4610","0","14755","1871","9991","8843","0","1838","5.1","8.90769","59.87","15.27","21.82","522.14","Broadcast Radio and Television","Consumer Discretionary","NSDQ","0","","11393.12","26.21","1.44",".53","20180301","5.89","19.34",".87","","10.34","6.01","5.79","","7.39","2.11","20171231","YES"
"DISH Network Corporation","DISH",".47847",".15","0","","0","40.10533","2115.24902","2098.67993","1650.07995","1713.25","2530.81005","14391.38","5.09929","9.05","28.399",".47481",".74","2.07","67.982","15.67","6937.8999","0","15134.44042","4828","3285.02001","0","321","653.94","4.3","7.78079","7.81","29.81","32.65","467.38","Cable Television","Consumer Discretionary","NSDQ","0","12.79","15259.92","66.19","1.14",".7","20180301","5.89","20.48","2.08","-6.39","12.9",".55","-4.63",".52","6.69","2.53","20171231","YES"
"Digital Realty Trust, Inc.","DLR",".01116",".1","3.72","4.4517","4.53","-41.74997","1213.68103","248.25","264.16","522.79998","1401.18005","2457.93","2.7125","11.51","",".1381",".33",".94","45.68199","47.03","9799.89062","1249.56005","8648.61035","1179.96997","289.51998","3389.59008","0","276.33999","1.59","2.98049","26.88","97.95","105.5","205.95","REIT and Equity Trust - Other","Finance","NYSE","3.83","16.12","21728.02","126.04","-.02","1.61","20180301","1.72","3.63","2.24","2.37","16.99","13.52","14.74","6.61","6.45","6.21","20171231","YES"
"Dollar Tree, Inc.","DLTR",".49211",".08","0","","0","91.28543","1783.19995","1714.30004","1704","2005.80004","2632.3999","22245.5","11.49699","5.2","4.92119","1.39929","1.6","","39.86899","30.29","7182.2998","0","4762.10009","2859.10009","4576.2998","8505.2998","3169.30004","0","7.28","16.034","55.85","66.39","94.29","237.77","Retail - Discount Stores","Retail-Wholesale","NSDQ","0","16.53","22419.21","116.35",".83","1.89","20180101","9.88","18.68","3.11","1.12","19.36","33.68","7.37","17.38","10.91","4.87","20180131","YES"
"Dover Corporation","DOV",".41029",".1","1.82","5.7466","2.14","59.49614","1030.04602","811.65997","973.84002","1119.04003","1513.28002","7830.44","7.12179","8.92","5.26949",".75629","1.42",".68","40.548","28.74","4383.18017","0","2986.69995","2298.18994","3207.12011","6201.83007","878.63","1385.56005","6.74","10.182","3.56","76.68","77.76","154.68","Manufacturing - General Industrial ","Industrial Products","NYSE","2.42","15.6","12027.75","107.05","1.32","1.16","20180301","9.73","16.48","2.71","1.2","17.32","-3.82","15.25","23.66","-9.08","4.49","20171231","YES"
"Dr Pepper Snapple Group, Inc","DPS",".14378",".16","2.31999","11.02999","2.55","27.0366","992","1076","1173","1337","1502","6690","8.63939","12.08","11.076",".66806",".77","1.66","62.45299","13.79","2451","0","4400","1238","1117","7342","229","710","8.07","14.734","95.46","84.47","119.38","180.22","Beverages - Soft drinks","Consumer Staples","NYSE","1.94","23.39","21514.82","121.04",".74",".98","20180301","12.33","35.49","8.65","2.23","26.53","2.6","3.88","12.42","8.97","4.5","20171231","YES"
"Duke Realty Corporation","DRE","3.53443","2.09",".76999","3.7074","3.39","423.62078","575.552","1634.43005","290.23001","377.23001","682.09997","780.93","2.7397","33.26","",".11341","4.51",".54","35.27199","12.83","4574.37011","0","2422.88989","139.83","620.13","0","0","125.91","3.77","2.89429","52.85","24.52","27.49","357.03","REIT and Equity Trust - Other","Finance","NYSE","2.91","21.11","9814.76","30.14",".72",".31","20180301","3.98","5.98","2.14","4.43","22.35","-7.7","-13.45","5.02","2.69","1.23","20171231","YES"
"Darden Restaurants, Inc.","DRI",".42274",".07","2.24","2.64949","3.54","27.76","780.20001","479.1","637.29998","677.5","951.40002","7170.2","7.414","7.37","32.442","1.46619",".39",".44","30.361","17.2","2101.69995","0","936.59997","1289.19995","799.79998","2151.8999","178.89999","75.9","10.81","13.055","39.94","77.05","85.94","123.53","Retail - Restaurants","Retail-Wholesale","NYSE","2.93","18.02","10616.5","99.31",".22","1.71","20180201","19.36","28.12","5","1.65","18.64","-3.18","3.41","18.66","15.62","4.61","20170531","YES"
"DTE Energy Company","DTE",".1586",".09","3.3575","7.01999","3.4","30.64516","2084","1134","1287","1823","2906","12607","3.02629","7.78","13.71899",".39392","1.16","1.18","54.04","57.1","9990","0","12185","2812","3081","3160","779","1856","3.06","4.9538","4.74","98.49","99.32","181.48","Utility - Electric Power","Utilities","NYSE","3.55","17.16","18024.91","115.99",".14","1.91","20180301","4.68","10.27","1.74","2.86","17.36","3.8","18.6","3.54","7.46","5.72","20171231","YES"
"Duke Energy Corporation","DUK",".1946",".13","3.49","3.2894","4.29","42.14683","7245","3059","4266","6252","10298","23565","2.59489","14.04","4.0046",".17542",".64","1.17","53.98099","59.63","41737","0","49035","12482","8453","19396","3250","2774","2.46","3.90619","0","74.15","74.15","701.01","Utility - Electric Power","Utilities","NYSE","4.8","15.74","51979.7","91.09",".1","1.28","20180301","3.75","8.1","1.24","4.03","15.38","-.99","3.61","3.09","1.73","4.82","20171231","YES"
"DaVita Inc.","DVA","2.11282",".06","0","","0","-24.57864","1412.375","663.60998","1399.78002","1399.78002","2177.26","10876.63","4.31099","5.13","47.339",".70459","2.94","1.94","68.32299","27.4","4886.06005","0","9158.00976","3041.16992","8744.3496","6724.10009","181.78999","2137.10009","3.61","5.42999","52.37","53.89","67.58","174.5","Medical - Outpatient and Home Healthcare","Medical","NYSE","0","16.48","11792.71","80.03","1.1","1.05","20180301","4.57","13.84","2.48",".98","18.26","6.66","-26.24","23.49","0","3.7","20171231","YES"
"Devon Energy Corporation","DVN",".94147",".06",".23999","-31.85301","1.41","185.03787","2468","898","896","896","3032","13949","2.79509","5.1","",".49932","1.04",".7","41.228","26.22","14104","0","10291","3315","4791","2383","0","1670","2.55","3.8092","83.96","29.54","42.36","523.4","Oil and Gas - Exploration and Production - United States","Oils-Energy","NYSE",".57","32.44","22171.22","44.81","2.16",".2","20180301","3.16","5.68","1.62","4.63","30.7","2.55","14.36","107.27","-31.66","1.38","20171231","YES"
"Dow Chemical Company (The)","DWDP",".61267",".02","1.75999","6.28609","3.18","-66.18805","10994.3457","1460","1193","2275","7817","62484","5.3101","9.59","3.7774",".42541","1.87",".29","22.18499","44.19","101927","0","30056","26128","49893","92801","16992","16893","4.08","8.4868","47.33","60.2","68.16","2329.02","Chemical - Diversified ","Basic Materials","NYSE","2.23","16.28","158746.22","77.02","1.3","1.12","20180301","6.05","8.01","1.54","1.71","19.04","-.5","29.75","23.14","12.31","3.58","20171231","YES"
"DXC Technology Company.","DXC","","",".72","-7.7952","1.29","-149.00399","1122","-123","-174","-57","618","7607","5.73129","8.97","",".75586",".99","","32.53599","46.28","2166","0","2225","2950","3247","3649","0","1643","6.78","10.977","77.72","74.1","99.91","285.69","Computers - IT Services","Computer and Technology","NYSE",".72","11.04","28543.08","107.31",".94","2.15","20171201","11.77","17.97","2.16","1.05","14.65","-5.82","7.05","15.13","2.25","6.82","20180331","YES"
"Electronic Arts Inc.","EA","",".2","0","","0","7.85935","1211.40002","1043","1449","1210","1382","5150","11.47099","24.3","144.11399",".6334","2.41",".22","17.756","14.98","4595","0","992","2491","6004","1954","0","385","15.39","19.704","91.04","100.83","130.81","306.73","Toys - Games - Hobbies","Consumer Discretionary","NSDQ","0","26.03","40123.09","133.76",".82","1.31","20180301","23.26","28.51","8.73","1.74","28.01","7.43","6.3","23.76","42.85","4.67","20180331","YES"
"eBay Inc.","EBAY","1.99152","-.11","0","","0","-113.98294","2441.3999","-1016","2276","2276","2952","9567","7.854","17.46","",".38205","2.63","1.21","54.796","7.64","8063","0","9234","3539","7743","4842","0","695","6.67","11.666","38.22","33.58","38.4","993.98","Internet - Commerce","Retail-Wholesale","NSDQ","0","16.81","38168.76","46.19","1.26",".53","20180301","9.2","18.06","5.02","1.5","18.73","-15.26","6.55","14.22","-10.71","2.05","20171231","YES"
"Ecolab Inc.","ECL",".16795",".11","1.51999","11.43299","1.13","22.67404","2271.5","1508.40002","1764.80004","2019.80004","2913.10009","13838.3","6.57849","9.96","5.1188",".71158","1.15",".83","45.478","26.58","7688.70019","0","6758.2998","3431.80004","4596.3999","11184.70019","1445.90002","2574.10009","7.09","9.95569","88.19","126.39","147.07","288.52","Chemical - Specialty","Basic Materials","NYSE","1.12","27.25","42432.71","149.84",".99",".91","20180301","10.21","19.01","5.53","2.17","30.64",".53","5.21","15.06","6.87","4.8","20171231","YES"
"Consolidated Edison Inc","ED",".3827",".13","2.75999","3.0394","3.91","22.48995","2605","1525","1997","2726","4067","12033","2.68319","10.73","18.281",".24917",".67",".94","48.46799","50.4","15425","0","14731","4902","3537","559","334","1327","2.67","4.7143","0","73.94","73.94","310.73","Utility - Electric Power","Utilities","NYSE","3.87","17.36","22975.41","89.66",".05","1.37","20180301","4.37","8.61","1.47","4.34","17.52","-1.43","-.35","4.12","2.03","4.22","20171231","YES"
"Equifax, Inc.","EFX",".3308",".17","1.55999","14.612","1.23","20.15139","1015.79998","587.29998","746.59997","839.40002","1130.30004","3362.2","10.42599","21.29","",".47486",".6",".52","34.268","27.74","3239","0","1739","1673.5","998.40002","5526","0","444.79998","10.11","14.022","40.71","92.98","114.67","120.28","Financial Transaction Services","Business Services","NYSE","1.36","19.32","13793.02","146.26",".94","1.43","20180301","14.19","22.55","4.13","2.42","19.27","10.37","6.91","-.57","14.84","5.95","20171231","YES"
"Edison International","EIX",".36021",".06","2.2325","14.01099","2.79","-51.95258","3581","689","949","1588","3703","12320","2.9209","11.75","33.129",".23562",".64",".96","49.04199","42.63","13866","0","11642","7068","3729","0","242","941","2.77","6.1813","12.82","58.07","61.22","325.81","Utility - Electric Power","Utilities","NYSE","3.95","15.1","19946.16","82.64",".12",".8","20180301","5.53","10.22","1.44","2.63","14.65","-2.02","3.8","-9.94","-.39","4.18","20171231","YES"
