WMT,2300
AMZN,566
YUMC,450
KR,449
HD,413
BRK-B,377
IBM,366
FDX,357
UPS,346
TGT,345
GE,313
WBA,290
SBUX,277
PEP,263
WFC,262
UNH,260
CTSH,260
LOW,255
T,254
