FL
SIG
WFC
CVS
IVZ
TMK
FITB
MCK
PFE
BEN
AFL
LNC
PFG
TRV
UNM
USB
OMC
MO
ALL
PCAR
CMI
LYB
AIZ
GPS
VZ
COF
VLO
BAX
QCOM
EMN
ETN
CA
AAP
LEN
