ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
YRCW,MRY,2011-12-31,2011-12-31,2011-12-31,2018-05-03,-234100000,2485800000,2596040250,838000000,1647800000,1.875,-169.574,-4100000,200500000,200500000,4528100000,-354400000,1.241,-8.037,1354700000,9500000,1345200000,1354700000,0,195700000,0,0.0,0.0,-202600000,-6900000,-0.001,-6900000,-202600000,-358800000,-196.12,-196.12,-196.12,-353900000,-306224750,-353900000,1246543978,-6,-180.659,-30100000,-14.423,1.0,340700000,0.07,117500000,156200000,2847000000,2650760750,25900000,0,0,0,2844300000,675500000,2168800000,68259978,57500000,0,0,241600000,0,240100000,-156600000,0,-26000000,0,-351300000,-409300000,-409300000,0,-3100000,-0.084,478900000,-138200000,151700000,0.0,-0.193,-0.167,-0.051,1336600000,58000000,9.97,0.014,0.004,476800000,-1930200000,4868800000,4868800000,0,-0.158,1.337,-0.076,-0.042,15500000,0,1.0,6846537,2087000,2087000,2332.918,2368300000,31600000,-7500000,31700000,1134.787,162500000
YRCW,MRY,2012-12-31,2012-12-31,2012-12-31,2018-05-03,-392400000,2225500000,2375392500,774100000,1451400000,2.042,-80.685,-16000000,208700000,208700000,4404200000,-136500000,1.301,-4.538,1375400000,9100000,1366300000,1375400000,0,183800000,0,0.0,0.0,-4600000,179200000,0.037,179200000,-4600000,-155400000,-19.2,-19.2,-19.2,-629100000,-483454000,-629100000,1245592221,-270,6.951,-41900000,-5.731,1.0,446300000,0.092,99200000,150800000,2697800000,2779192250,27400000,0,0,0,2854600000,595200000,2259400000,57592221,8200000,0,0,14300000,0,14300000,19800000,0,-25900000,0,-140400000,-140400000,-140400000,0,3900000,-0.029,422200000,24100000,162000000,0.0,-0.092,-0.41,-0.352,1191400000,0,6.75,0.012,0.01,460100000,-2070600000,4850500000,4850500000,0,-0.059,0.29,-0.002,-0.001,3800000,0,1.0,8532181,7311000,7311000,663.452,2126300000,0,-15000000,2400000,272.707,178900000
YRCW,MRY,2013-12-31,2013-12-31,2013-12-31,2018-05-03,-315000000,2064900000,2143050000,797900000,1267000000,2.27,-58.747,-57100000,176300000,176300000,4432500000,-83600000,1.365,-4.456,1363400000,8600000,1354800000,1363400000,0,172300000,0,0.0,0.0,34400000,206700000,0.042,206700000,34400000,-129500000,-8.96,-8.96,-8.96,-597400000,-636825000,-597400000,1380476193,40,6.679,-45000000,-4.822,1.0,432900000,0.089,79800000,163900000,2587600000,2507350000,17000000,0,0,0,2662300000,584600000,2077700000,189976193,-32400000,0,0,-21000000,0,-21000000,-23500000,0,12100000,0,-83600000,-83600000,-83600000,0,0,-0.017,404500000,28400000,176700000,0.0,-0.318,-2.272,-1.939,1089800000,0,17.37,0.039,0.033,460900000,-2154200000,4865400000,4865400000,0,-0.039,0.131,0.014,0.007,20200000,0,1.0,10937029,9332000,9332000,521.367,1985100000,18300000,-45900000,20400000,195.211,213300000
YRCW,MRY,2014-12-31,2014-12-31,2014-12-31,2018-05-03,-432800000,1985000000,2106550000,751700000,1233300000,2.406,-15.46,-48400000,171100000,171100000,4602800000,-67700000,1.246,-5.185,1109900000,31100000,1078800000,1109900000,0,163600000,0,0.0,0.0,66200000,229800000,0.045,229800000,66200000,-83800000,-3.0,-3.0,-3.0,-474300000,-390250000,-474300000,1631091767,24,7.098,-19900000,-0.696,1.0,466000000,0.092,60300000,150000000,2260000000,2333750000,0,0,0,0,2459300000,603500000,1855800000,702991767,-5200000,0,250000000,-225000000,0,7900000,-41600000,0,28500000,0,-67700000,-85800000,-85800000,0,0,-0.017,420500000,45500000,172200000,0.0,-1.482,-8.193,-7.497,994200000,18100000,22.49,0.139,0.127,470500000,-2240000000,5068800000,5068800000,0,-0.041,0.22,0.028,0.013,26600000,0,1.0,31257971,28592000,28592000,177.28,1924700000,21400000,-16100000,51600000,62.735,148200000
YRCW,MRY,2015-12-31,2015-12-31,2015-12-31,2018-05-03,-360300000,1879400000,1944750000,734400000,1145000000,2.485,-11.805,-90500000,173800000,173800000,4307700000,700000,1.281,-5.954,1062400000,15900000,1046500000,1062400000,0,163700000,0,0.0,0.0,103200000,266900000,0.055,266900000,103200000,-4400000,0.02,0.02,0.02,-379400000,-432900000,-379400000,1332594610,12,4.993,57100000,1.799,1.0,524700000,0.109,40400000,107600000,2154100000,2195475000,0,0,0,0,2258800000,573500000,1685300000,462494610,2700000,0,0,-16700000,0,-23500000,-121400000,0,147600000,0,700000,700000,700000,0,0,0.0,431700000,93000000,161100000,0.0,-1.219,660.707,709.0,937300000,0,14.18,0.096,0.093,427400000,-2239300000,4832400000,4832400000,0,0.0,-0.002,0.047,0.021,24400000,0,1.0,32615981,31736000,32592000,152.269,1839000000,23000000,-5100000,56500000,57.222,160900000
YRCW,MRY,2016-12-31,2016-12-31,2016-12-31,2018-05-03,-425200000,1770000000,1847600000,780800000,989200000,2.542,-12.818,-65500000,136700000,136700000,4175800000,21500000,1.39,-5.253,997100000,16800000,980300000,997100000,0,159800000,0,0.0,0.0,128000000,287800000,0.061,287800000,128000000,24600000,0.66,0.65,0.66,-416200000,-377725000,-416200000,1205978879,9,4.19,38300000,1.182,1.0,521700000,0.111,27200000,103400000,2041300000,2062575000,0,0,0,0,2186200000,561900000,1624300000,441878879,-37100000,0,0,-72500000,0,-73200000,-67700000,14600000,103800000,0,21500000,21500000,21500000,0,0,0.005,397400000,124300000,160600000,0.0,-1.062,20.553,20.121,870600000,0,13.28,0.094,0.092,448700000,-2217800000,4697500000,4697500000,0,0.012,-0.057,0.062,0.027,21000000,0,1.0,33274012,32416000,33040000,144.913,1742800000,24900000,3100000,56100000,53.674,218900000
YRCW,MRY,2017-12-31,2017-12-31,2017-12-31,2018-05-03,-355800000,1585500000,1693525000,700100000,885400000,2.888,-10.683,-94500000,91600000,91600000,4399800000,-10800000,1.286,-5.485,906100000,30600000,875500000,906100000,0,147700000,0,0.0,0.0,84700000,232400000,0.048,232400000,84700000,-18100000,-0.33,-0.33,-0.33,-353500000,-401425000,-353500000,1262693340,14,5.433,-33800000,-1.034,1.0,491200000,0.1,27800000,102800000,1828000000,1900675000,0,0,0,0,1939000000,544200000,1394800000,481993340,-45100000,0,0,-93800000,0,-96200000,-9600000,0,60700000,0,-10800000,-10800000,-10800000,0,0,-0.002,392800000,98400000,172000000,0.0,-1.363,-44.629,-43.576,812700000,0,14.38,0.099,0.096,488300000,-2228600000,4891000000,4891000000,0,-0.006,0.027,0.045,0.017,22000000,0,1.0,33518313,32685000,32685000,149.641,1557700000,0,-7300000,26700000,47.075,155900000
