ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
IPCM,MRY,2011-12-31,2011-12-31,2011-12-31,2017-04-14,0,304914000,289532000,107594000,197320000,1.58,12.932,-3279000,17752000,17752000,334984000,29269000,1.81,0.434,0,0,0,0,0,3192000,0,0.0,0.0,47051000,50243000,0.11,50243000,47051000,46866000,1.79,1.74,1.79,212652000,198294250,212652000,719803379,15,14.326,22482000,1.367,1.0,122483000,0.268,175500000,185000,52203000,42071250,0,0,0,0,92262000,59459000,32803000,751838379,-1183000,-27843000,2908000,0,0,4178000,-31122000,0,25761000,0,29269000,29269000,29269000,0,0,0.064,76451000,46032000,27686000,0.0,3.536,25.687,25.542,5112000,0,45.72,1.643,1.643,91889000,73057000,457467000,457467000,0,0.101,0.148,1.118,0.103,4783000,73259000,1.0,16444409,16444409,,27.819,129414000,1522000,17597000,750000,7.87,48135000
IPCM,MRY,2012-12-31,2012-12-31,2012-12-31,2017-04-14,0,388058000,350196750,122829000,265229000,1.495,15.367,-3609000,16214000,16214000,382934000,32586000,1.665,0.514,20000000,0,20000000,20000000,0,3911000,0,0.0,0.0,52651000,56562000,0.108,56562000,52651000,52314000,1.97,1.92,1.97,256371000,240588250,256371000,637241442,12,11.266,36219000,2.171,1.0,140551000,0.268,242142000,337000,75936000,66175500,0,0,0,0,131687000,73766000,57921000,662477442,-1538000,-62605000,3860000,20000000,0,24848000,-66214000,0,39828000,0,32586000,32586000,32586000,0,0,0.062,87590000,52961000,33295000,0.0,2.584,20.33,20.157,5763000,0,39.71,1.266,1.266,106405000,105643000,523485000,523485000,0,0.093,0.135,0.796,0.101,6344000,83679000,1.0,16682887,16682887,,31.379,145916000,250000,19728000,1506000,8.746,49063000
IPCM,MRY,2013-12-31,2013-12-31,2013-12-31,2017-04-14,0,549812000,451890500,159626000,390186000,1.349,18.609,-3911000,25010000,25010000,444224000,41396000,1.84,0.746,90000000,0,90000000,90000000,0,4681000,0,0.0,0.0,67633000,72314000,0.119,72314000,67633000,67093000,2.46,2.39,2.46,314982000,292716250,314982000,1027778233,15,14.213,32885000,1.943,1.0,165293000,0.271,363244000,540000,164823000,105615250,0,0,0,0,234830000,86735000,148095000,1005257233,8796000,-104127000,7429000,70000000,0,80038000,-108038000,0,36796000,0,41396000,41396000,41396000,0,0,0.068,103406000,61887000,46205000,0.0,3.191,24.284,24.142,6343000,0,59.39,1.649,1.649,135837000,147039000,609517000,609517000,0,0.092,0.141,0.64,0.111,7355000,98725000,1.0,16926372,16926372,,36.01,186568000,0,25697000,6731000,11.022,72891000
IPCM,MRY,2014-12-31,2014-12-31,2014-12-31,2017-04-14,0,614762000,582593500,170445000,444317000,1.191,21.363,-5836000,14913000,14913000,507205000,39020000,1.733,0.671,80000000,0,80000000,80000000,0,5381000,0,0.0,0.0,64994000,70375000,0.101,70375000,64994000,63666000,2.28,2.21,2.28,367917000,349376500,367917000,834868964,12,11.863,41806000,2.427,1.0,186780000,0.269,413945000,1328000,167535000,162018750,0,0,0,0,246845000,98369000,148476000,790338964,-10097000,-47924000,5068000,-10000000,0,-3979000,-53760000,0,47642000,0,39020000,39020000,39020000,0,0,0.056,119539000,67241000,53299000,0.0,2.148,20.255,20.127,8798000,0,45.89,1.139,1.139,156230000,186059000,693985000,693985000,0,0.067,0.112,0.401,0.094,8282000,114158000,1.0,17222466,17222466,,40.295,200817000,0,24646000,12321000,11.66,72076000
