ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
DATE,MRY,2011-12-31,2011-12-31,2011-12-31,2017-04-12,-3040000,655705000,409981500,618106000,37599000,0.808,13.456,-22400000,181340000,28765205,104814000,37243000,5.059,0.229,0,0,0,0,78547000,9830000,0,0.0,0.0,55350000,65180000,0.197,10339230,8779939,55350000,0.81,0.75,0.128,533517000,259322000,84629570,,,,64495000,1.627,6.304,226427000,0.684,0,0,352177000,205737500,0,414500000,404500000,10000000,122188000,122188000,0,184984486,161952000,0,426077000,0,0,400133000,-320900000,-298500000,86895000,-4176000,37243000,21340000,3385074,0,0,0.064,186627000,39800000,0,0.0,2.186,54.647,45.452,27599000,15903000,5.84,3.521,4.407,16294000,7956000,331241000,52543374,11796000,0.052,0.082,0.269,0.167,30542000,174831000,0.667,47489394,39647790,42384833,1.325,655705000,3045000,18107000,14824000,16.538,495918000
DATE,MRY,2012-12-31,2012-12-31,2012-12-31,2017-04-12,-3812000,695066000,675385500,593037000,102029000,0.608,11.823,-83015000,257709000,41327156,143685000,58937000,4.038,0.27,0,0,0,0,110573000,13406000,0,0.0,0.0,68164000,81570000,0.199,13080863,10931028,68164000,1.9,1.84,0.305,547386000,540451500,87780818,147037454,13,11.241,-25330000,-0.547,6.236,267118000,0.65,5358000,0,285120000,318648500,0,248072000,248072000,0,147680000,146879000,801000,175798613,76369000,-4500000,-57659000,0,0,-57659000,78960000,166475000,57685000,-2617000,58937000,58937000,9451352,0,0,0.143,215330000,51788000,1166000,0.0,2.003,18.6,18.215,96671000,0,5.55,2.669,3.9,40102000,63183000,410803000,65877869,17587000,0.087,0.109,0.214,0.166,13363000,197743000,0.667,47489394,46297314,47743098,1.423,689708000,2571000,9227000,12483000,14.897,446158000
DATE,MRY,2013-12-31,2013-12-31,2013-12-31,2017-04-12,-12830000,740003000,717534500,635455000,104548000,0.687,12.006,-18168000,232613000,38348438,180521000,63656000,3.291,0.372,0,0,0,0,125760000,16175000,0,0.043,0.26,76709000,92884000,0.189,15312800,12646199,76709000,2.13,2.08,0.351,539218000,543302000,88895153,150880379,11,9.853,148799000,3.313,6.066,312085000,0.634,5064000,0,309230000,297175000,0,341532000,341532000,0,200785000,193096000,7689000,192620037,-25096000,0,-24988000,0,-48246000,-73234000,-111747000,-93274000,166967000,-7082000,63656000,63656000,10494289,0,0,0.129,258102000,53983000,5864000,0.74,2.167,18.355,17.087,99484000,0,6.0,2.372,3.318,33987000,126367000,492606000,81210727,21918000,0.089,0.117,0.258,0.156,10428000,236184000,0.667,48130944,44910676,45827922,1.808,734939000,3628000,13053000,26816000,16.364,442359000
DATE,MRY,2014-12-31,2014-12-31,2014-12-31,2017-04-12,-11050000,673446000,706724500,565266000,108180000,0.869,8.712,-5527000,196857000,31782049,277789000,20107000,2.061,0.74,0,0,0,0,189020000,14381000,0,0.192,0.91,23114000,37495000,0.061,6053470,3731695,23114000,0.67,0.66,0.108,387040000,463129000,62486599,118062395,31,19.503,71671000,1.613,6.194,336201000,0.548,4399000,0,197953000,253591500,0,266229000,255181000,11048000,286406000,274237000,12169000,155342288,-35756000,0,-17676000,0,-165951000,-183627000,70258000,75785000,77198000,415000,20107000,20107000,3246222,0,0,0.033,333956000,2245000,20692000,8.413,2.486,47.853,43.912,91694000,0,4.75,1.567,2.129,37745000,146345000,613990000,99127086,23149000,0.028,0.043,0.091,0.038,9562000,310807000,0.667,49030944,44423885,45390809,2.231,669047000,8982000,3007000,25554000,15.061,291029000
DATE,MRY,2015-12-31,2015-12-31,2015-12-31,2017-04-12,-6730000,1032084000,852765000,933551000,98533000,0.837,9.857,-4525000,297500000,45830361,382804000,25424000,1.611,1.366,0,0,0,0,195144000,11522000,0,0.0,0.0,34010000,45532000,0.064,7014279,5239296,34010000,0.85,0.84,0.131,436188000,411614000,67195474,216298182,41,30.837,44822000,1.013,6.491,330768000,0.464,2271000,0,152766000,175359500,0,372396000,361348000,11048000,595896000,579547000,16349000,248114350,100643000,0,6674000,0,0,156674000,-110059000,-105534000,49347000,4681000,25424000,25424000,3916608,0,0,0.036,324140000,6628000,18167000,0.0,3.692,63.349,56.895,84423000,0,7.45,2.257,2.999,41849000,171731000,713572000,109926933,26469000,0.03,0.062,0.194,0.048,12730000,297671000,0.667,49930944,44253419,45543939,2.484,1029813000,7940000,8586000,28955000,23.271,354004000
