ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
STS,MRY,2011-12-31,2011-12-31,2011-12-31,2017-10-26,7299,104723362,113930269,69509587,35213775,2.636,3.453,-2186944,106833,106833,267865673,790671,2.039,0.906,15948659,246192,15702467,15948659,0,3030790,2410975,0.0,0.0,2632920,5663710,0.019,5663710,2632920,389671,0.05,0.05,0.05,54933347,52802118,54933347,54054442,20,9.544,12282899,0.79,1.0,32495016,0.108,0,2243249,86477640,84967618,38134862,924016,924016,0,49790015,34087548,15702467,37114638,-943214,0,48585,-13575347,0,-13526762,-1886295,291903,14469843,0,790671,790671,790671,876920,0,0.003,29835596,2659420,21424434,0.0,0.676,46.941,47.733,33530057,0,2.387,0.124,0.124,22040297,321760,300360689,300360689,0,0.007,0.015,0.031,0.009,451203,27653505,1.0,15550826,15548580,15782311,19.318,104723362,629162,-401000,719611,6.583,35422039
STS,MRY,2012-12-31,2012-12-29,2012-12-29,2017-10-26,9245,105088083,112197003,61007286,44080797,2.131,4.203,-8920102,59056,59056,197787948,11832985,2.728,0.565,14105997,16934,14089063,14105997,0,2921624,1428997,0.0,0.0,12680737,15602361,0.065,15602361,12680737,11897620,0.74,0.73,0.74,67162882,63706400,67162882,61083953,4,3.915,3509242,0.22,1.0,41322915,0.173,0,783117,96771616,97382316,32308931,2887172,2887172,0,37925201,22363408,15561793,52253012,-47777,0,100409,-1724150,0,-1623741,-10853380,-1963156,12429344,0,11832985,11832985,11832985,576507,0,0.049,29222276,12100639,11936544,0.0,0.778,4.416,4.414,42937988,0,3.267,0.219,0.218,18781735,12154745,239110863,239110863,0,0.105,0.186,0.13,0.053,294195,29222276,1.0,15995820,15954564,16212508,14.987,105088083,2824998,64635,1992341,6.576,38643878
STS,MRY,2013-12-31,2013-12-28,2013-12-28,2017-10-26,-43106,113530851,115197552,65923357,47607494,2.142,4.576,-4968985,3894277,3894277,198385642,6425876,2.326,0.533,9666666,666668,8999998,9666666,0,3412891,1428590,0.045,0.25,12854063,16266954,0.066,16266954,12854063,12349235,0.4,0.39,0.4,74080167,71665807,74080167,106822949,8,6.567,8493732,0.527,1.0,48420325,0.196,0,504828,90959784,98290798,32496255,2865287,2865287,0,39450684,28343456,11107228,91086948,3835221,0,141397,-4798306,0,-4656909,-4970587,-27338,13462717,0,6425876,6425876,6425876,4772386,0,0.026,31698954,16721371,15888955,0.625,1.23,14.175,13.975,46387839,0,5.59,0.369,0.365,21623319,15268209,246805967,246805967,0,0.056,0.09,0.131,0.052,402363,31698954,1.0,16294624,16113136,16487804,15.317,113530851,2853336,5923359,2786622,7.013,37579901
STS,MRY,2014-12-31,2014-12-27,2014-12-27,2017-10-26,-65573,109819651,111691332,61979382,47840269,2.116,4.921,-3900507,11636988,11636988,192462081,6902531,3.323,0.355,8999998,666668,8333330,8999998,0,3441281,271435,0.007,0.05,11429097,14870378,0.063,14870378,11429097,10903186,0.42,0.41,0.42,81032405,77833920,81032405,124413167,10,8.367,5641054,0.345,1.0,43846839,0.186,0,525911,88530138,87257906,22661814,3933507,3933507,0,28787246,18652523,10134723,126690011,7742711,3884656,410702,-666668,-413326,-669292,-1129558,-1113707,9541561,0,6902531,6902531,6902531,1567423,0,0.029,31344204,12502635,8958026,0.119,1.563,18.354,18.238,46925534,0,7.66,0.536,0.53,17898054,21343935,236308920,236308920,0,0.062,0.089,0.131,0.048,488277,31344204,1.0,16539166,16350561,16744066,14.453,109819651,996915,4000655,2545557,6.669,43326859
STS,MRY,2015-12-31,2015-12-26,2015-12-26,2017-10-26,-183514,121119898,121492806,74933534,46186364,2.292,5.292,-3028647,17247891,17247891,224202596,12875269,3.254,0.367,7723518,361748,7361770,7723518,0,3284313,425039,0.055,0.39,19283616,22567929,0.081,22567929,19283616,19194644,0.77,0.76,0.77,88588429,86982007,88588429,118824594,6,5.265,6738269,0.404,1.0,54222203,0.195,0,88972,88564634,103305841,24992743,2898763,2898763,0,32531469,23030891,9500578,119032622,5610903,0,392776,-666665,-1829028,-2039887,-2116126,912521,9766916,0,12875269,12875269,12875269,0,0,0.046,35306651,18915552,7950620,0.506,1.344,9.245,9.247,46186364,0,7.12,0.428,0.427,25006551,27783871,278424799,278424799,0,0.106,0.148,0.187,0.069,778223,35306651,1.0,16718065,16682437,16997365,16.69,121119898,235071,6319375,3008041,7.236,51902643
STS,MRY,2016-12-31,2016-12-31,2016-12-31,2017-10-26,0,133969284,132148622,88221351,45747933,2.262,5.928,-3621554,35222620,35222620,231860105,19037338,2.935,0.317,7195105,7195105,0,7195105,0,3124435,0,0.025,0.4,28903522,32027957,0.107,32027957,28903522,28444169,1.12,1.11,1.12,101731349,99494958,101731349,253105330,8,7.903,25666531,1.511,1.0,67111560,0.224,0,459353,75885612,96915277,24245322,3003002,3003002,0,32237935,30056157,2181778,268302433,17974729,0,-198351,-833333,-6764282,-7651624,-3661732,-40178,29288085,0,19037338,19037338,19037338,0,0,0.064,38542639,28568921,6803769,0.357,2.637,14.093,14.018,45747933,0,15.7,0.897,0.892,20106253,39952582,298971665,298971665,0,0.144,0.191,0.298,0.097,938874,38542639,1.0,17089327,16990210,17094977,17.597,133969284,0,9406831,2181778,7.806,58165194
