ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
SSNC,MRY,2011-12-31,2011-12-31,2011-12-31,2018-05-10,25413000,1207608000,1257560000,95559000,1112049000,0.295,6.325,-7628000,41467000,41467000,184288000,51021000,1.131,0.232,100000000,0,100000000,100000000,46395000,42224000,0,0.0,0.0,88687000,130911000,0.353,130911000,88687000,73939000,0.335,0.315,0.335,980103000,956600250,980103000,1470067196,16,11.23,102779000,0.672,1.0,186540000,0.503,1096634000,14748000,85019000,170659000,0,0,0,0,227505000,84488000,143017000,1373555196,-44525000,-20577000,60758000,-191050000,0,-125358000,-29354000,0,110407000,-220000,51021000,51021000,51021000,0,0,0.138,92763000,93777000,4170000,0.0,1.401,26.921,26.955,14304000,0,9.03,3.704,3.725,47201000,129734000,370828000,370828000,35650000,0.041,0.053,0.52,0.239,8559000,57113000,1.0,152110210,152964000,161418000,2.424,110974000,2788000,22918000,28936000,0.716,11071000
SSNC,MRY,2012-12-31,2012-12-31,2012-12-31,2018-05-10,51518000,2362905000,2100071750,206917000,2155988000,0.263,6.814,-17918000,88620000,88620000,299917000,45820000,1.291,1.197,1012138000,22248000,989890000,1012138000,63700000,75814000,0,0.0,0.0,103403000,179217000,0.325,179217000,103403000,70485000,0.295,0.275,0.295,1075503000,1037515750,1075503000,2809471728,27,15.676,116504000,0.744,1.0,251925000,0.457,2099490000,32918000,1026681000,842583000,0,0,0,0,1287402000,160252000,1127150000,1821388728,45842000,-967149000,14354000,878437000,0,894522000,-984980000,0,134422000,1878000,45820000,45820000,45820000,0,0,0.083,128709000,123216000,10528000,0.0,1.694,39.751,39.136,55039000,0,11.545,3.301,3.277,91690000,175554000,551842000,551842000,45779000,0.022,0.044,0.123,0.187,2059000,68655000,1.0,157764290,156642000,165776000,3.523,263415000,16518000,24665000,121472000,1.669,46665000
SSNC,MRY,2013-12-31,2013-12-31,2013-12-31,2018-05-10,30374000,2275324000,2289219500,221176000,2054148000,0.311,7.47,-14253000,86930000,86930000,388800000,117895000,1.324,0.847,774507000,23212000,751295000,774507000,62561000,99780000,0,0.0,0.0,187582000,287362000,0.403,287362000,187582000,145187000,0.725,0.69,0.725,1231708000,1159130500,1231708000,4391573918,23,15.282,194016000,1.195,1.0,323902000,0.454,2001374000,42395000,794525000,912892500,0,0,0,0,1043616000,167002000,876614000,3639449918,-1690000,-3657000,26874000,-239000000,0,-189849000,-17910000,0,208269000,-2200000,117895000,117895000,117895000,0,0,0.165,140934000,182968000,8368000,0.0,2.955,30.87,30.524,51697000,0,22.13,5.107,5.042,91221000,293449000,712702000,712702000,53862000,0.052,0.102,0.205,0.263,-15808000,87072000,1.0,164457746,162390000,171232000,4.389,273950000,27535000,27292000,112575000,1.661,54174000
SSNC,MRY,2014-12-31,2014-12-31,2014-12-31,2018-05-10,-15121000,2266155000,2221703000,235172000,2030983000,0.346,8.028,-18515000,111054000,111054000,410731000,131127000,1.227,0.683,619738000,20470000,599268000,619738000,73254000,99831000,0,0.002,0.063,204831000,304662000,0.397,304662000,204831000,177654000,0.79,0.75,0.79,1346670000,1311616000,1346670000,5418649924,26,17.786,234017000,1.404,1.0,357130000,0.465,1975571000,27177000,607673000,677410250,0,0,0,0,919485000,191595000,727890000,4893655924,25107000,-86911000,12887000,-137000000,-10494000,-120165000,-104443000,0,252532000,-2817000,131127000,131127000,131127000,0,0,0.171,156758000,200372000,12004000,0.08,3.634,37.32,37.019,54277000,0,29.245,6.373,6.346,94359000,414082000,767861000,767861000,57287000,0.059,0.1,0.302,0.267,-3971000,99471000,1.0,167333080,166628000,174662000,4.608,290584000,15967000,46527000,103402000,1.732,43577000
SSNC,MRY,2015-12-31,2015-12-31,2015-12-31,2018-05-10,-83170000,5802242000,4155643750,675066000,5127176000,0.241,10.771,-17809000,436977000,436977000,532350000,42862000,1.62,1.756,2751351000,32281000,2719070000,2751351000,222024000,150834000,0,0.007,0.25,140175000,291009000,0.291,291009000,140175000,60842000,0.24,0.22,0.24,2105446000,1908993000,2105446000,8961198840,63,30.794,212815000,1.168,1.0,467935000,0.468,5057834000,79333000,2642064000,1629628000,0,0,0,0,3696796000,416718000,3280078000,6639274840,325923000,-2729153000,747894000,2164627000,-45451000,2847066000,-2746962000,0,230624000,-4805000,42862000,42862000,42862000,0,0,0.043,303197000,164738000,11957000,1.042,3.153,154.899,142.229,67143000,0,34.135,6.637,6.217,169951000,411493000,1000285000,1000285000,110415000,0.01,0.022,0.086,0.14,11119000,192782000,1.0,194500508,182196000,190896000,5.49,744408000,42826000,17980000,511002000,3.808,258348000
SSNC,MRY,2016-12-31,2016-12-31,2016-12-31,2018-05-10,-139073000,5706971000,5702245500,415112000,5291859000,0.26,11.131,-37476000,119674000,119674000,800489000,130996000,0.74,1.527,2501130000,126144000,2374986000,2501130000,235222000,228683000,0,0.009,0.25,293558000,522241000,0.353,522241000,293558000,163616000,0.65,0.64,0.65,2258578000,2196780500,2258578000,8186871808,27,15.676,380931000,1.902,1.0,680947000,0.46,5209054000,129942000,2318748000,2517769250,0,0,0,0,3448393000,560625000,2887768000,5800517808,-317303000,-457511000,39224000,-263436000,-50140000,-236094000,-495987000,-1000000,418407000,-3629000,130996000,130996000,130996000,0,0,0.088,392252000,288695000,16490000,0.385,2.568,44.28,44.0,80395000,0,28.6,3.915,3.866,241307000,492349000,1481436000,1481436000,152689000,0.023,0.06,0.117,0.198,4357000,239563000,1.0,202815308,200252000,205793000,7.398,497917000,25422000,32620000,457028000,2.454,-145513000
SSNC,MRY,2017-12-31,2017-12-31,2017-12-31,2018-05-10,-82655000,5539516000,5603905250,359457000,5180059000,0.299,13.03,-45970000,64649000,64649000,886425000,328864000,0.81,1.062,2045195000,37863000,2007332000,2045195000,204601000,237189000,0,0.007,0.265,391269000,628458000,0.375,628458000,391269000,282630000,1.6,1.55,1.6,2686388000,2485319750,2686388000,10446579876,26,16.623,424392000,2.071,1.0,788870000,0.471,5076779000,108639000,1999623000,2203464000,0,0,0,0,2853128000,443660000,2409468000,8333242876,-55025000,-17413000,60219000,-467450000,-54357000,-466413000,-63383000,0,470362000,4409000,328864000,328864000,328864000,0,0,0.196,391957000,396913000,27087000,0.166,3.102,25.339,25.3,100956000,0,40.48,4.974,4.952,243900000,766856000,1675295000,1675295000,153334000,0.059,0.132,0.178,0.234,41487000,238623000,1.0,205860743,204923000,211632000,8.175,462737000,14490000,-46234000,289488000,2.244,-84203000
