ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
NTES,MRY,2011-12-31,2011-12-31,2011-12-31,2018-04-20,0,15444931000,13515796500,14474186000,970745000,0.539,4.011,-410899000,12238079000,1941275294,2372288000,3222973000,6.341,0.179,0,0,0,0,1014073000,293239000,0,0.0,0.0,3627020000,3920259000,0.538,621854291,575339015,3627020000,24.75,24.75,3.926,13098464000,11411051000,2077754569,4346438837,7,6.989,3662049000,1.121,6.304,4918364000,0.675,60750000,0,863525000,422784500,0,993606000,993606000,0,2346467000,2282577000,63890000,5834740309,929481000,0,73337000,0,0,73544000,-3208233000,-2562998000,4072948000,-8778000,3234264000,3234264000,513037773,0,-11291000,0.444,1594922000,3323442000,198107000,0.0,2.808,11.373,11.424,848469000,0,44.85,5.045,126.642,230047000,11649092000,7290652000,1156485638,465490000,0.239,0.283,8.579,0.497,122032000,1129432000,0.04,3252363606,3265550000,3276704000,0.354,15384181000,114576000,392756000,391769000,4.711,12191609000
NTES,MRY,2012-12-31,2012-12-31,2012-12-31,2018-04-20,0,19277956000,17361443500,17868673000,1409283000,0.472,4.753,-177909000,15259936000,2447139088,2578067000,3586570000,4.996,0.236,0,0,0,0,1160018000,233509000,0,0.0,0.0,4329094000,4562603000,0.556,731675686,694229329,4329094000,27.75,27.75,4.45,15601486000,14349975000,2501911294,3625983847,5,4.956,4046381000,1.233,6.236,5622889000,0.686,11529000,0,429989000,646757000,0,1563539000,1073539000,490000000,3676470000,3576502000,99968000,5569621421,-623849000,0,-390230000,0,0,-390230000,-4454038000,-3979389000,4224290000,-3871000,3637452000,3637452000,583315091,0,-50882000,0.444,1911245000,3711644000,257732000,0.0,2.226,9.548,9.557,815026000,0,42.53,4.235,106.158,269485000,14309609000,8200956000,1315135265,718315000,0.21,0.253,6.694,0.528,203018000,1192930000,0.04,3273936881,3282663000,3288330000,0.401,19266427000,146144000,691642000,389465000,5.869,14292171000
NTES,MRY,2013-12-31,2013-12-31,2013-12-31,2018-04-20,0,24546330000,21912143000,22797763000,1748567000,0.42,6.21,-215320000,20220515000,3333541880,2478516000,4445218000,5.385,0.217,975504000,975504000,0,160820999,1481036000,158363000,0,0.013,1.0,4974513000,5132876000,0.558,846202834,820095206,4974513000,34.25,34.0,5.646,20168263000,17884874500,3324927647,7741350988,9,9.148,5020570000,1.546,6.066,6717659000,0.73,11271000,0,1056864000,743426500,0,1401183000,901183000,500000000,4378067000,4233184000,144883000,10205555045,-132471000,0,-104335000,1005680000,-815413000,86848000,-5453279000,-3646378000,5235890000,-1930000,4443910000,4443910000,732620316,0,1308000,0.483,2365062000,4352597000,364142000,0.177,3.069,13.93,13.92,872113000,0,78.6,6.732,168.384,402511000,18509161000,9196175000,1516075851,921618000,0.203,0.248,6.691,0.541,306308000,1443444000,0.04,3246041681,3247874000,3256297000,0.467,24535059000,152367000,530603000,222969000,7.554,18564579000
NTES,MRY,2014-12-31,2014-12-31,2014-12-31,2018-04-20,0,30354671000,27450500500,27732522000,2622149000,0.427,7.155,-549924000,23146874000,3737002516,3261544000,4795705000,4.105,0.294,2049865000,2049865000,0,330945364,1967780000,174462000,0,0.025,2.48,5419358000,5593820000,0.478,903107668,874941233,5419358000,36.5,36.25,5.893,23358160000,21763211500,3771114090,9798358341,11,10.85,5323099000,1.631,6.194,8451290000,0.722,77648000,0,2423567000,1740215500,28251000,3109030000,2058552000,1050478000,6862877000,6756447000,106430000,12889326055,563155000,0,2917000,1071165000,-1983010000,-778442000,-4520166000,-3318681000,5873023000,-11260000,4756623000,4756623000,767944393,0,39082000,0.406,3686165000,4765125000,517152000,0.421,3.418,16.784,16.824,1281225000,0,99.14,6.816,171.146,873137000,21223973000,11712834000,1891006540,1323498000,0.173,0.219,3.114,0.463,349277000,2362667000,0.04,3250283956,3264450000,3277049000,0.579,30277023000,223200000,662735000,436287000,9.275,20976075000
NTES,MRY,2015-12-31,2015-12-31,2015-12-31,2018-04-20,27452000,41157430000,35756050500,34408924000,6748506000,0.638,8.928,-865369000,22857412000,3521221691,9399260000,6836900000,2.949,0.404,2272760000,2272760000,0,350122394,4651750000,182450000,0,0.01,1.775,8008516000,8190966000,0.359,1261831704,1233724983,8008516000,51.25,51.0,7.895,29323599000,26340879500,4517348370,20278379198,16,16.071,7211551000,2.196,6.491,13403635000,0.588,238878000,0,8666477000,5545022000,817765000,9088151000,5013499000,4074652000,11833831000,11667423000,166408000,23691833123,4050034000,0,-132192000,87142000,-1467965000,-1632736000,-2536524000,-616648000,8076920000,142374000,6735108000,6735108000,1037554399,0,101792000,0.295,6131512000,7272123000,785574000,0.225,5.245,22.834,22.956,2092046000,0,181.24,6.744,169.454,2614149000,26419698000,22802895000,3512823258,2158888000,0.188,0.256,1.444,0.351,684467000,3972624000,0.04,3268019356,3284382000,3305213000,1.07,40918552000,435274000,1273408000,984435000,12.459,22741501000
NTES,MRY,2016-12-31,2016-12-31,2016-12-31,2018-04-20,61479000,58031860000,49594645000,49383365000,8648495000,0.77,11.72,-1137903000,28273870000,4071228833,16515032000,11792863000,2.575,0.509,3815691000,3815691000,0,549431373,7531238000,327515000,0,0.014,2.93,13707018000,14034533000,0.368,2020869283,1973709538,13707018000,88.5,87.75,12.743,38462941000,33893270000,5538379938,25143360420,12,12.442,14350363000,4.373,6.945,21663812000,0.567,588887000,0,13808310000,11237393500,1578130000,16162143000,11582116000,4580027000,19568919000,19176484000,392435000,28312319034,-631988000,249569000,-1199102000,1494756000,-2546165000,-2250507000,-14001814000,-10799597000,15488266000,132067000,11604520000,11604520000,1670965326,0,188343000,0.304,9034948000,12628864000,1396187000,0.23,5.112,16.944,16.898,2419510000,0,215.34,5.15,128.548,4251297000,35328812000,38178844000,5497472065,3046979000,0.234,0.342,1.22,0.359,990131000,5987969000,0.04,3286932181,3281729000,3307109000,1.675,57442973000,560323000,2102498000,2114736000,17.504,30206881000
NTES,MRY,2017-12-31,2017-12-31,2017-12-31,2018-04-20,36585000,71031415000,64531637500,61947760000,9083655000,0.838,14.113,-2513311000,39294415000,5939660045,28189326000,10849137000,2.608,0.516,6623502000,6623502000,0,1001194449,6237969000,801804000,0,0.011,3.64,12870302000,13672106000,0.253,2066646411,1945447427,12870302000,81.25,80.75,12.282,46435140000,42449040500,7019036822,41740552389,21,20.197,9375927000,2.85,6.616,25912693000,0.479,593279000,0,14017109000,13912709500,5474929000,12527639000,9742663000,2784976000,23981579000,23750114000,231465000,45293609466,-2675359000,350418000,-2061591000,3104970000,-3257607000,-1302728000,-13249291000,-10461786000,11889238000,-12578000,10707939000,10707939000,1618589243,0,141198000,0.198,13758882000,12153811000,2442531000,0.296,6.453,27.983,28.097,3769326000,0,345.07,5.539,138.835,3619725000,42733081000,54102019000,8177945915,4371428000,0.166,0.252,0.925,0.238,2004263000,9387454000,0.04,3281479806,3290312000,3315478000,2.485,70438136000,823495000,2162363000,1777907000,21.408,38197646000
