APD
SIG
WFC
CVS
IVZ
TMK
FITB
MCK
PFE
CAH
BK
AFL
LNC
PFG
UNM
MO
ALL
PCAR
UNP
DIS
TSN
LUV
CME
LYB
AIZ
GPS
VZ
VLO
EMN
ETN
TWX
CINF
KSU
CSX
