ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
DLPH,MRY,2014-12-31,2014-12-31,2014-12-31,2018-05-09,,,,,,,,-321000000,,,3671000000,342000000,,,,,,,,194000000,,,0.0,407000000,601000000,0.132,601000000,407000000,403000000,,,,,,,,,,212000000,,1.0,869000000,0.191,,4000000,,,,,,,,,,,4000000,0,0,8000000,0,-201000000,-321000000,0,533000000,-7000000,306000000,306000000,306000000,0,36000000,0.067,427000000,442000000,,,,,,,0,,,,,,4540000000,4540000000,0,,,,0.09,22000000,343000000,,,,,,,,97000000,,,
DLPH,MRY,2015-12-31,2015-12-31,2015-12-31,2018-05-09,-496000000,3001000000,,1415000000,1586000000,,13.328,-181000000,108000000,108000000,3557000000,306000000,1.268,1.405,32000000,23000000,9000000,32000000,0,189000000,0,,0.0,367000000,556000000,0.126,556000000,367000000,364000000,3.07,3.07,3.07,1181000000,,1181000000,,,,248000000,2.799,1.0,850000000,0.193,120000000,3000000,1689000000,,366000000,34000000,0,34000000,1659000000,1116000000,543000000,,-53000000,0,0,-5000000,0,-273000000,-201000000,0,429000000,-8000000,272000000,272000000,272000000,0,34000000,0.062,449000000,401000000,740000000,0.0,,,,1202000000,0,,,,827000000,,4407000000,4407000000,0,,,,0.083,22000000,312000000,1.0,,88610000,88610000,49.735,2881000000,0,92000000,0,32.513,299000000
DLPH,MRY,2016-12-31,2016-12-31,2016-12-31,2018-05-09,-711000000,2899000000,2950000000,1402000000,1497000000,1.521,13.339,-162000000,101000000,101000000,3689000000,268000000,1.296,1.453,8000000,2000000,6000000,8000000,0,210000000,0,,0.0,287000000,497000000,0.111,497000000,287000000,286000000,2.66,2.66,2.66,1182000000,1181500000,1182000000,,,,210000000,2.37,1.0,797000000,0.178,98000000,1000000,1626000000,1657500000,374000000,34000000,0,34000000,1717000000,1082000000,635000000,,-7000000,0,0,-2000000,0,-210000000,-162000000,0,372000000,-7000000,236000000,236000000,236000000,0,32000000,0.053,478000000,319000000,749000000,0.0,,,,1142000000,0,,,,819000000,0,4486000000,4486000000,0,0.08,0.2,0.173,0.064,19000000,299000000,1.0,,88610000,88610000,50.626,2801000000,146000000,50000000,0,31.61,320000000
DLPH,MRY,2017-12-31,2017-12-31,2017-12-31,2018-05-09,-371000000,3793000000,3346000000,2058000000,1735000000,1.449,2.618,-187000000,339000000,339000000,3881000000,319000000,1.474,15.349,1535000000,20000000,1515000000,1535000000,0,201000000,0,0.0,0.0,406000000,607000000,0.125,607000000,406000000,391000000,3.22,3.21,3.22,232000000,707000000,232000000,9438851898,23,15.55,202000000,2.28,1.0,968000000,0.2,82000000,15000000,3511000000,2568500000,498000000,37000000,0,37000000,3561000000,1396000000,2165000000,9540851898,237000000,0,0,1523000000,0,25000000,-189000000,0,389000000,12000000,285000000,285000000,285000000,0,34000000,0.059,533000000,435000000,931000000,0.0,41.124,33.477,16.295,1316000000,0,52.47,1.968,0.959,1090000000,7000000,4849000000,4849000000,0,0.085,0.403,0.158,0.084,17000000,408000000,1.0,181834417,88610000,88660000,54.723,3711000000,178000000,106000000,0,41.88,662000000
