ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
SRT,MRY,2011-12-31,2011-12-31,2011-12-31,2018-05-08,1502000,101433000,115444500,56327000,45106000,1.901,4.911,-8958000,9719000,9719000,203284000,-26462000,2.398,0.364,0,0,0,0,671000,15750000,0,0.0,0.0,-26588000,-10838000,-0.049,-10838000,-26588000,-26588000,-1.75,-1.75,-1.75,74362000,85668500,74362000,17781466,0,-1.641,-10226000,-0.678,1.0,16209000,0.074,0,0,68229000,74106500,0,106000,106000,0,27071000,23485000,3586000,29297466,-9021000,0,234000,-85000,0,149000,-8298000,660000,-1268000,396000,-26462000,-26462000,-26462000,0,0,-0.121,42830000,-26621000,7385000,0.0,0.394,-1.107,-1.097,38475000,0,1.92,0.133,0.132,39588000,1650000,219493000,219493000,0,-0.229,-0.309,-0.359,-0.121,1602000,37334000,1.0,15259097,15084000,15084000,14.551,101433000,3548000,-126000,1363000,6.699,32842000
SRT,MRY,2012-12-31,2012-12-31,2012-12-31,2018-05-08,2529000,93132000,92630500,60280000,32852000,2.139,4.339,-7305000,9183000,9183000,175095000,-10488000,2.524,0.405,0,0,0,0,638000,12957000,0,0.0,0.0,-10372000,2585000,0.013,2585000,-10372000,-10372000,-0.69,-0.69,-0.69,66279000,66610000,66279000,52504571,-5,20.311,-4394000,-0.288,1.0,22997000,0.116,0,0,60070000,59463500,0,733000,733000,0,26853000,23879000,2974000,61703571,-536000,0,103000,-96000,0,7000,-2761000,4544000,2911000,-693000,-10488000,-10488000,-10488000,0,0,-0.053,33711000,-10714000,7174000,0.0,0.931,-5.883,-5.841,26310000,0,4.03,0.311,0.31,42332000,-8838000,198092000,198092000,0,-0.113,-0.157,-0.174,-0.052,1275000,29645000,1.0,15311060,15241000,15241000,12.997,93132000,4218000,116000,2390000,6.097,36401000
SRT,MRY,2013-12-31,2013-12-31,2013-12-31,2018-05-08,-1009000,89717000,90049250,60064000,29653000,2.568,3.786,-8843000,10989000,10989000,206932000,-6406000,2.108,0.542,1000000,1000000,0,1000000,0,12527000,0,0.0,0.0,-6176000,6351000,0.027,6351000,-6176000,-6176000,-0.42,-0.42,-0.42,58174000,60433750,58174000,93702842,-15,14.754,-2601000,-0.17,1.0,24325000,0.105,2801000,0,48429000,52487750,0,0,0,0,31543000,28498000,3045000,99719842,1806000,-2097000,238000,981000,0,1213000,-5551000,1995000,6242000,-98000,-6406000,-6406000,-6406000,0,0,-0.028,28922000,-4597000,8477000,0.0,1.714,-15.567,-15.452,22210000,0,6.49,0.431,0.43,43708000,-15244000,231257000,231257000,0,-0.071,-0.106,-0.118,-0.027,1607000,28828000,1.0,15365153,15339000,15339000,15.076,86916000,2308000,230000,766000,5.656,31566000
SRT,MRY,2014-12-31,2014-12-31,2014-12-31,2018-05-08,-825000,93793000,88602250,54508000,39285000,2.823,3.549,-11661000,5306000,5306000,219608000,-5460000,1.721,0.715,11580000,6810000,4770000,11580000,0,10379000,0,0.0,0.0,-4896000,5483000,0.022,5483000,-4896000,-4896000,-0.35,-0.35,-0.35,54681000,56165750,54681000,146189591,-29,26.662,-7281000,-0.473,1.0,30472000,0.122,6745000,0,61650000,54329250,0,48000,48000,0,39112000,31672000,7440000,150241591,-5683000,-3419000,159000,3257000,0,3416000,-13300000,645000,4380000,-179000,-5460000,-5460000,-5460000,0,0,-0.022,35362000,-4890000,10434000,0.0,2.748,-27.517,-27.857,28180000,0,9.75,0.601,0.6,46103000,-20704000,250080000,250080000,0,-0.062,-0.097,-0.09,-0.02,1625000,31397000,1.0,15409394,15394000,15394000,16.245,87048000,1429000,564000,965000,5.649,22836000
SRT,MRY,2015-12-31,2015-12-31,2015-12-31,2018-05-08,-351000,114804000,112050250,64018000,50786000,2.518,2.687,-7722000,2626000,2626000,257830000,-15616000,1.025,1.738,43900000,35711000,8189000,43900000,0,13261000,0,0.0,0.0,-14013000,-752000,-0.003,-752000,-14013000,-15152000,-1.01,-1.01,-1.01,41925000,45907250,41925000,90072230,-6,-119.777,-12358000,-0.796,1.0,24304000,0.086,16995000,1139000,76649000,71483250,0,0,0,0,72879000,62434000,10445000,55801230,-2680000,-18258000,917000,25602000,0,26519000,-24998000,0,-4636000,435000,-15616000,-15616000,-15616000,0,0,-0.055,38317000,-14013000,9232000,0.0,1.331,-3.573,-3.545,30364000,0,3.58,0.198,0.197,57940000,-36320000,282134000,282134000,0,-0.139,-0.34,-0.196,-0.05,1469000,34427000,1.0,15586936,15529000,15529000,18.168,97809000,479000,464000,393000,6.268,1584000
SRT,MRY,2016-12-31,2016-12-31,2016-12-31,2018-05-08,-49000,106808000,103272750,65028000,41780000,2.975,2.837,-3797000,1039000,1039000,270779000,395000,1.196,1.387,34265000,28765000,5500000,34265000,0,12250000,0,0.0,0.0,2861000,15111000,0.049,15111000,2861000,1113000,0.03,0.02,0.03,44744000,43017250,44744000,163969307,57,10.851,7140000,0.454,1.0,36421000,0.119,15774000,1748000,69896000,68776250,0,0,0,0,62064000,54364000,7700000,133060307,-1587000,-825000,400000,-9244000,0,-8844000,-4582000,0,10937000,902000,395000,395000,395000,0,0,0.001,33560000,2861000,7612000,0.0,2.974,336.862,281.667,23276000,0,8.45,0.433,0.433,60179000,-35925000,307200000,307200000,0,0.004,0.009,0.042,0.009,1722000,33196000,1.0,15746782,15731000,16258000,19.528,91034000,0,718000,0,5.773,10664000
SRT,MRY,2017-12-31,2017-12-31,2017-12-31,2018-05-08,1384000,95998000,97875250,58149000,37849000,2.99,2.906,-7185000,1456000,1456000,260242000,-1276000,2.241,1.045,24931000,2725000,22206000,24931000,0,11080000,0,0.0,0.0,-742000,10338000,0.035,10338000,-742000,-1712000,-0.08,-0.08,-0.08,46939000,47674750,46939000,183509130,-247,17.751,8343000,0.523,1.0,32362000,0.111,14634000,970000,78891000,81471250,0,0,0,0,49059000,25948000,23111000,160942130,417000,0,1023000,-9807000,0,-8784000,-6835000,0,15528000,508000,-1276000,-1276000,-1276000,0,0,-0.004,33104000,-742000,7019000,0.0,3.429,-126.13,-124.625,19943000,0,9.97,0.55,0.544,53052000,-37201000,292604000,292604000,0,-0.013,-0.027,-0.009,-0.003,1015000,32584000,1.0,16142641,15966000,15966000,18.327,81364000,0,-436000,0,5.036,32201000
