ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
CREE,MRY,2011-12-31,2011-06-26,2011-06-26,2018-04-25,13091000,2446722000,2381776000,1456895000,989827000,0.415,20.734,-236880000,1085797000,1085797000,551842000,146500000,10.383,0.082,0,0,0,0,0,108605000,0,0.0,0.0,178227000,286832000,0.29,286832000,178227000,178227000,1.35,1.33,1.35,2261564000,2193255750,2261564000,2644659812,14,9.22,14500000,0.134,1.0,435773000,0.441,429038000,0,791571000,730678000,176482000,0,0,0,185158000,140316000,44842000,3717751812,-6833000,-13159000,34405000,0,0,44546000,-303234000,-40443000,251380000,475000,146500000,146500000,146500000,0,0,0.148,267067000,168706000,76593000,0.0,1.644,25.377,25.156,555929000,0,33.96,3.764,3.732,118469000,654807000,987615000,987615000,115035000,0.062,0.067,0.244,0.18,28099000,139304000,1.0,109474435,108522000,110035000,9.101,2017684000,24653000,31727000,37395000,18.498,1316579000
CREE,MRY,2012-12-31,2012-06-24,2012-06-24,2018-04-25,11133000,2747498000,2728824500,1164281000,1583217000,0.427,22.121,-94763000,744513000,744513000,755196000,44412000,7.805,0.073,0,0,0,0,0,142709000,0,0.0,0.0,47647000,190356000,0.163,190356000,47647000,47647000,0.39,0.39,0.39,2560017000,2531268750,2560017000,2129845383,44,11.189,147517000,1.286,1.0,409462000,0.352,992420000,0,861388000,883281750,188849000,0,0,0,187481000,149177000,38304000,2839939383,-211713000,-454605000,-6969000,0,0,-6692000,-448141000,118431000,242280000,840000,44412000,44412000,44412000,0,0,0.038,370204000,39258000,78873000,0.0,1.109,63.945,62.692,582461000,0,24.45,2.438,2.408,152258000,687238000,1164658000,1164658000,143357000,0.016,0.018,0.054,0.041,46116000,197092000,1.0,116152940,114693000,115225000,10.155,1755078000,21744000,3235000,19443000,15.166,1015104000
CREE,MRY,2013-12-31,2013-06-30,2013-06-30,2018-04-25,8244000,3052410000,2909149000,1515766000,1536644000,0.476,23.723,-77167000,1023915000,1023915000,862722000,86925000,7.308,0.088,0,0,0,0,0,153301000,0,0.0,0.0,107557000,260858000,0.188,260858000,107557000,107557000,0.75,0.74,0.75,2806652000,2685608500,2806652000,6590030962,61,25.263,208067000,1.784,1.0,523260000,0.378,973870000,0,847214000,823199750,197001000,0,0,0,245758000,207411000,38347000,7527081962,11184000,0,94562000,0,0,105952000,-380307000,-282282000,285234000,305000,86925000,86925000,86925000,0,0,0.063,426766000,96494000,121441000,0.0,2.682,86.593,85.107,542833000,0,63.83,5.431,5.371,192507000,772496000,1385982000,1385982000,155889000,0.03,0.032,0.131,0.078,42509000,236581000,1.0,117923891,116621000,117979000,11.884,2078540000,26125000,20632000,26819000,17.569,1308355000
CREE,MRY,2014-12-31,2014-06-29,2014-06-29,2018-04-25,11405000,3344369000,3304304250,1773891000,1570478000,0.499,24.823,-178440000,1162466000,1162466000,1029885000,123490000,5.785,0.118,0,0,0,0,0,164010000,0,0.0,0.0,146531000,310541000,0.188,310541000,146531000,146531000,1.02,1.0,1.02,2990146000,2967813000,2990146000,4688155263,31,15.097,140868000,1.168,1.0,617756000,0.375,952768000,0,922480000,901921250,284780000,0,0,0,354223000,306655000,47568000,5911566263,96755000,0,307000,0,0,19542000,-242265000,-43642000,319308000,170000,123490000,123490000,123490000,0,0,0.075,484520000,133236000,202294000,0.0,1.977,47.871,47.529,605713000,0,48.48,3.588,3.549,225160000,788581000,1647641000,1647641000,181382000,0.037,0.042,0.162,0.089,42451000,268460000,1.0,121938248,120623000,122914000,13.659,2391601000,29414000,23041000,27021000,19.854,1467236000
CREE,MRY,2015-12-31,2015-06-28,2015-06-28,2018-04-25,5798000,2948033000,3138992500,1308250000,1639783000,0.52,23.105,-205875000,713191000,713191000,1158586000,-64692000,5.135,0.197,200000000,0,200000000,200000000,0,173323000,0,0.0,0.0,-83939000,89384000,0.055,89384000,-83939000,-83939000,-0.57,-0.57,-0.57,2461952000,2715582000,2461952000,2314063730,-27,25.889,-24621000,-0.218,1.0,473919000,0.29,927074000,0,1252982000,1229977750,280576000,57595000,0,57595000,486081000,254786000,231295000,2946104730,-147114000,0,-512748000,200000000,0,-311353000,-16137000,209229000,181254000,-878000,-64692000,-64692000,-64692000,0,0,-0.04,547469000,-73550000,163128000,0.0,1.197,-45.54,-47.368,635072000,0,27.0,1.805,1.869,186157000,170469000,1632505000,1632505000,182797000,-0.021,-0.024,-0.068,-0.051,62904000,290730000,1.0,109114990,113022000,113022000,14.444,2020959000,48141000,-19247000,12246000,18.966,1053464000
CREE,MRY,2016-12-31,2016-06-26,2016-06-26,2018-04-25,8728000,2766060000,2822998750,1156707000,1609353000,0.573,23.523,-114722000,605305000,605305000,1129553000,-21536000,5.187,0.168,160000000,0,160000000,160000000,0,159145000,0,0.0,0.0,-23506000,135639000,0.084,135639000,-23506000,-23506000,-0.21,-0.21,-0.21,2367824000,2367672000,2367824000,2004775280,-85,14.78,88594000,0.87,1.0,487074000,0.301,921638000,0,1176118000,1235762250,303542000,40179000,0,40179000,398236000,222999000,175237000,2400225280,26444000,-12513000,-127871000,-40000000,0,-167859000,-7903000,133775000,203316000,-1110000,-21536000,-21536000,-21536000,0,0,-0.013,497545000,-10471000,132286000,0.0,1.014,-111.452,-113.81,599723000,0,23.9,1.485,1.505,165611000,-613000,1616627000,1616627000,168848000,-0.008,-0.009,-0.019,-0.015,58716000,283052000,1.0,100427836,101783000,101783000,15.883,1844422000,44868000,-1970000,943000,18.323,933708000
CREE,MRY,2017-12-31,2017-06-25,2017-06-25,2018-04-25,5909000,2649867000,2686866500,1100630000,1549237000,0.548,22.78,-85536000,610938000,610938000,1038428000,-98118000,5.191,0.192,145000000,0,145000000,145000000,0,150508000,0,0.0,0.0,-4664000,145844000,0.099,145844000,-4664000,-4664000,-1.0,-1.0,-1.0,2222805000,2268832500,2222805000,2027380669,-434,13.901,130364000,1.324,1.0,434572000,0.295,893143000,0,1078763000,1211525750,284385000,50366000,0,50366000,427062000,212023000,215039000,2466257669,-33557000,0,-86301000,-15000000,0,-104078000,-145250000,-47309000,215900000,-129000,-98118000,-98118000,-98118000,0,0,-0.067,453244000,-18672000,133185000,0.0,1.11,-25.136,-25.35,581263000,0,25.35,1.674,1.695,148392000,-202742000,1473000000,1473000000,158549000,-0.037,-0.043,-0.004,-0.003,47727000,277175000,1.0,97288271,98487000,98487000,14.956,1756724000,19803000,93454000,49860000,18.004,888607000
