ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
PVR,MRY,2011-12-31,2011-12-31,2011-12-31,2017-04-17,743000,1593992000,1488965500,115620000,1478372000,0.779,7.623,-230599000,8640000,8640000,875548000,96343000,0.829,1.74,841000000,0,841000000,841000000,13908000,89376000,0,0.0,0.0,141294000,230670000,0.199,230670000,141294000,97007000,1.45,1.45,1.45,581704000,451279500,581704000,2733259064,19,11.849,-40269000,-0.607,1.0,284427000,0.245,70665000,44287000,2216147000,2135468250,0,81162000,0,81162000,1012288000,139540000,872748000,1812167064,-7324000,-146503000,189164000,129325000,-135296000,176573000,-374227000,0,190330000,0,97007000,97007000,97007000,0,-664000,0.084,130856000,153571000,124082000,0.0,3.115,18.681,17.607,1282297000,0,25.53,1.562,1.46,101340000,,1159975000,1159975000,0,0.065,0.215,0.066,0.122,3845000,41480000,1.0,70981867,66342000,66342000,17.485,1523327000,0,0,0,19.962,-23920000
PVR,MRY,2012-12-31,2012-12-31,2012-12-31,2017-04-17,0,2998709000,2495125500,165155000,2833554000,0.404,13.625,-512375000,14713000,14713000,698661000,-70622000,0.822,1.357,1490000000,0,1490000000,1490000000,19000000,127344000,0,0.0,0.0,-1849000,125495000,0.125,125495000,-1849000,-70622000,-1.43,-1.43,-1.43,1272419000,1008834000,1272419000,4282536033,-2316,34.125,-367114000,-4.258,1.0,309093000,0.307,690883000,68773000,3582291000,3088248000,0,97553000,0,97553000,1726290000,200822000,1525468000,2857663033,6073000,-887356000,743448000,629794000,-176256000,1196986000,-1336174000,0,145261000,0,-70622000,-70622000,-70622000,0,0,-0.07,313690000,-4597000,197034000,0.0,2.246,-40.464,-18.168,1989346000,0,25.98,2.836,2.223,133546000,,1007754000,1007754000,0,-0.028,-0.07,-0.001,-0.002,4428000,47452000,1.0,109994728,86222000,86222000,11.688,2307826000,0,0,0,24.713,-35667000
PVR,MRY,2013-12-31,2013-12-31,2013-12-31,2017-04-17,0,3125670000,3093552000,162097000,2963573000,0.361,11.18,-413451000,7298000,7298000,734216000,12994000,1.092,1.58,1735100000,0,1735100000,1735100000,18525000,187941000,0,0.0,0.0,119242000,307183000,0.275,307183000,119242000,12994000,-0.83,-0.83,-0.83,1211536000,1222668750,1211536000,4994923125,41,16.26,-210005000,-2.115,1.0,383270000,0.343,660363000,106248000,4044670000,3934189250,0,60782000,0,60782000,1914134000,148439000,1765695000,3370324125,-7415000,-18134000,138044000,224658000,-214442000,147602000,-358463000,0,203446000,0,12994000,12994000,12994000,0,0,0.012,250587000,132683000,142225000,0.0,2.782,259.375,-32.325,2189278000,0,26.83,3.016,2.384,147978000,,1117486000,1117486000,0,0.004,0.011,0.03,0.107,4159000,54508000,1.0,125617746,99304000,99304000,11.253,2465307000,0,0,0,22.75,13658000
