ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
CMD,MRY,2011-12-31,2011-07-31,2011-07-31,2018-03-08,9283000,321443000,310766500,111324000,210119000,1.035,6.051,-5757000,18410000,18410000,198868000,20425000,2.564,0.372,24000000,0,24000000,24000000,6718000,12446000,0,0.005,0.053,31422000,43868000,0.136,43868000,31422000,30462000,0.53,0.52,0.53,234315000,225064000,234315000,443015108,14,10.099,22441000,0.58,1.0,122783000,0.382,173961000,960000,109661000,91096750,40064000,0,0,0,87128000,43411000,43717000,429054108,-4202000,-29650000,1265000,3000000,-2064000,2977000,-35721000,0,28198000,344000,20425000,20425000,20425000,0,0,0.064,91447000,31336000,27301000,0.1,1.831,21.006,20.906,34459000,0,11.08,1.334,1.334,46121000,138725000,321651000,321651000,6648000,0.066,0.091,0.345,0.098,2574000,84799000,1.0,38723295,38723294,,8.306,147482000,3645000,10037000,19427000,3.809,67913000
CMD,MRY,2012-12-31,2012-07-31,2012-07-31,2018-03-08,8175000,434812000,430763500,133892000,300920000,0.897,6.814,-5493000,30186000,30186000,222323000,31337000,2.428,0.576,90000000,10000000,80000000,90000000,8114000,15925000,0,0.004,0.062,51601000,67526000,0.175,67526000,51601000,47869000,0.78,0.77,0.78,275936000,261560750,275936000,780673384,15,11.561,45087000,1.113,1.0,164167000,0.425,254966000,3732000,184519000,199381000,46755000,0,0,0,158876000,55141000,103735000,705200384,11776000,-97666000,468000,64588000,-2523000,64503000,-103115000,0,50580000,-192000,31337000,31337000,31337000,0,0,0.081,112648000,51519000,29194000,0.079,2.556,22.504,22.325,43022000,0,17.413,1.825,1.825,47977000,167539000,386490000,386490000,9254000,0.073,0.12,0.259,0.134,1870000,102789000,1.0,40497725,40497725,,9.543,179846000,5653000,16532000,19894000,4.441,78751000
CMD,MRY,2013-12-31,2013-07-31,2013-07-31,2018-03-08,10977000,487671000,468841750,150660000,337011000,0.907,7.818,-6713000,34076000,34076000,241550000,39239000,2.547,0.519,95000000,10000000,85000000,95000000,11380000,17263000,0,0.003,0.074,63249000,80512000,0.189,80512000,63249000,60354000,0.96,0.95,0.96,321132000,302921500,321132000,1164462375,18,14.463,44781000,1.09,1.0,183476000,0.432,287547000,2895000,201897000,203442250,54167000,0,0,0,166539000,59151000,107388000,1090131375,3890000,-45071000,-435000,5000000,-3016000,4424000,-52046000,0,51494000,18000,39239000,39239000,39239000,0,0,0.092,120288000,63188000,27354000,0.077,3.395,27.782,27.646,46465000,0,26.54,2.565,2.565,52753000,203762000,425026000,425026000,9320000,0.084,0.13,0.311,0.149,858000,110968000,1.0,41075033,41075033,,10.348,200124000,5236000,21115000,21186000,4.872,91509000
CMD,MRY,2014-12-31,2014-07-31,2014-07-31,2018-03-08,9552000,536145000,503255750,163909000,372236000,0.971,8.827,-13527000,31781000,31781000,275450000,43265000,2.465,0.468,80500000,0,80500000,80500000,16102000,18886000,0,0.003,0.09,70991000,89877000,0.184,89877000,70991000,68611000,1.05,1.04,1.05,365246000,348033250,365246000,1427420985,20,15.882,50745000,1.226,1.0,213299000,0.436,314599000,2380000,203766000,199586250,59737000,0,0,0,170899000,66499000,104400000,1387394985,-2295000,-33547000,-3805000,-14500000,-3721000,-18949000,-47432000,0,64272000,-186000,43265000,43265000,43265000,0,0,0.089,142371000,70928000,34395000,0.086,3.799,32.067,31.933,52718000,0,33.53,2.839,2.839,62225000,243306000,488749000,488749000,10813000,0.086,0.124,0.356,0.145,1018000,131558000,1.0,41377721,41377721,,11.812,221546000,3551000,25346000,18698000,5.354,97410000
CMD,MRY,2015-12-31,2015-07-31,2015-07-31,2018-03-08,1224000,584031000,572584500,188361000,395670000,0.987,9.787,-12735000,31720000,31720000,311537000,47953000,2.667,0.436,78500000,0,78500000,78500000,18323000,23957000,0,0.002,0.1,78555000,102512000,0.181,102512000,78555000,76191000,1.16,1.15,1.16,406633000,389225750,406633000,2346229695,29,22.887,46335000,1.115,1.0,253467000,0.449,327787000,2364000,232400000,247550250,72078000,0,0,0,177398000,70624000,106774000,2280094695,-61000,-39800000,-3119000,-2000000,-4154000,-6105000,-52294000,0,59070000,-732000,47953000,47953000,47953000,0,0,0.085,172706000,80761000,34741000,0.086,5.607,47.549,47.31,62541000,0,54.88,4.036,4.036,69805000,287105000,565004000,565004000,14022000,0.084,0.123,0.317,0.139,2699000,158684000,1.0,41546915,41546915,,13.599,256244000,6233000,28238000,26190000,6.168,117737000
CMD,MRY,2016-12-31,2016-07-31,2016-07-31,2018-03-08,-11795000,694532000,685605250,222742000,471790000,0.97,10.896,-18793000,28367000,28367000,355569000,59953000,2.312,0.529,116000000,0,116000000,116000000,20173000,25084000,0,0.002,0.12,97251000,122335000,0.184,122335000,97251000,93931000,1.44,1.44,1.44,454370000,436772250,454370000,2898449226,29,23.693,61475000,1.474,1.0,309186000,0.465,392037000,3320000,293793000,312259750,91486000,0,0,0,240162000,96335000,143827000,2791947226,-3353000,-94528000,-3732000,37500000,-5005000,29942000,-112982000,0,80268000,-581000,59953000,59953000,59953000,0,0,0.09,211935000,97251000,51818000,0.083,6.145,46.569,46.493,74604000,0,66.95,4.2,4.2,93332000,342053000,664755000,664755000,15410000,0.087,0.137,0.311,0.146,7182000,196525000,1.0,41701975,41701975,,15.941,302495000,0,33978000,27640000,7.254,126407000
CMD,MRY,2017-12-31,2017-07-31,2017-07-31,2018-03-08,-9900000,786373000,768349250,257371000,529002000,1.002,12.558,-27018000,36584000,36584000,402997000,71378000,2.41,0.501,126000000,0,126000000,126000000,25282000,33452000,0,0.002,0.14,110536000,143988000,0.187,143988000,110536000,106233000,1.71,1.71,1.71,523932000,492848250,523932000,3209827722,29,22.292,81175000,1.946,1.0,367160000,0.477,435957000,4303000,333053000,348959000,98724000,0,0,0,262441000,106779000,155662000,3095700722,8217000,-70044000,-6910000,10000000,-5841000,-2751000,-97062000,0,108193000,-163000,71378000,71378000,71378000,0,0,0.093,256750000,110410000,54937000,0.082,5.909,43.371,43.392,88338000,0,74.2,4.02,4.02,110656000,407590000,770157000,770157000,18367000,0.093,0.145,0.317,0.144,8844000,238383000,1.0,41721034,41721034,,18.46,350416000,0,34855000,27881000,8.399,150592000
