Company Name,Ticker,ROA (5 Yr Avg),Annual Sales,Net Income ,Pretax Income ,Cash Flow ,Dividend ,Current Assets ,Current Liabilities ,Long Term Debt ,Book Value,Debt/Total Capital,Debt/Equity Ratio,Cash Ratio,Last Qtr EPS,Exchange,Current ROA (TTM),ROI (5 Yr Avg),Sector,Industry,Shares Outstanding ,Market Cap ,Last Close,52 Week High,52 Week Low,12 Mo Trailing EPS,5 Yr. Hist. EPS Growth,5 Yr Historical Sales Growth,P/E (Trailing 12 Months),Current ROE (TTM),Current ROI (TTM),5 Yr Hist. Div. Growth %,S&P 500 - ETF
"Assurant, Inc.","AIZ","1.2141","6415","519.59997","444.5","231.8","2.15","13160.2998","23774.90039","1068.19995","81.41","19.96699",".25",".05387","1.84","NYSE",".71","5.9134","Finance","Insurance - Multi line","52.47","4652.47","88.66","106.27","85.16","3.94","-6.5","-6.65","22.5","5.24","4.17","25.493","YES"
"Arthur J. Gallagher & Co.","AJG","4.2831","6159.6","463.1","378.1","943.59997","1.55999","5170.60009","4912.2998","2691.8999","23.01","39.25899",".65",".61343",".82","NYSE","4.45","8.48509","Finance","Insurance - Brokerage","181.43","12638.14","69.66","70.49","54.73","3.06","10.11","19.22","22.76","13.95","8.51","2.63739","YES"
"Akamai Technologies, Inc.","AKAM","9.1105","2503","218.32","316.11999","720.40399","0","1308.86999","463.89999","662.90997","19.57","16.683",".2","1.83175",".69","NSDQ","7.2","10.237","Computer and Technology","Internet - Services","170.03","11869.91","69.81","69.81","44.91","2.62","6.31","12.87","26.65","9.9","8.25","","YES"
"Albemarle Corporation","ALB","7.315","3071.98","54.84999","446.79","712.52801","1.27999","2477.56005","1200.92004","1415.35998","34.55","27.047",".37","1.09292","1.34","NYSE","6.89","10.03999","Basic Materials","Chemical - Diversified ","110.64","10669.97","96.44","144.58","95.02","4.6","-.63","4.11","20.97","13.27","9.73","6.75199","YES"
"Align Technology, Inc.","ALGN","15.373","1473.41","231.41","364.79","355.74798","0","1157","497.80999","0","14.35","0","0","1.61206","1.19","NSDQ","19.61","20.70299","Medical","Medical - Dental Supplies","80.14","20473.75","255.49","283.97","102.74","3.9","23.23","19.75","65.51","28.55","28.55","","YES"
"Alaska Air Group, Inc.","ALK","9.5288","7933","1034","1207","1195","1.2","2146","2700","2262","30.24","37.80699",".61",".6474",".83","NYSE","7.74","20.434","Transportation","Transportation - Airline","123","7825.04","63.62","98.94","61.68","6.63","35.45","8.69","9.6","24.39","14.23","34.23799","YES"
"Allstate Corporation (The)","ALL","2.0111","38524","3189","3991","3191","1.48","17837","72656","6350","57.98","21.972",".31",".03524","2.09","NYSE","2.26","8.46389","Finance","Insurance - Property and Casualty","354.46","32925.61","92.89","104.91","79.73","6.71","4.49","2.41","13.84","12.57","8.96","9.5569","YES"
"Allegion PLC","ALLE","15.458","2408.2","273.29998","395.70001","446.89999",".63999","1032.69995","460.79998","1442.30004","4.27","78.055","3.56","1.07703","1.11","NYSE","15.98","23.25399","Industrial Products","Security and Safety Services","95.18","7901.34","83.01","89.56","72.86","3.97","16.87","3.29","20.91","126.46","22.17","23.72299","YES"
"Alexion Pharmaceuticals, Inc.","ALXN","14.00199","3551.1","443.29998","547.79998","1794.92004","0","2953.8999","952.5","3063.60009","39.81","25.62199",".34","1.85511","1.48","NSDQ","8.5","16.83499","Medical","Medical - Biomedical and Genetics","221.68","26490.93","119.5","146.69","97.7","5.86","14.21","24.44","20.39","12.94","9.6","","YES"
"Applied Materials, Inc.","AMAT","11.833","14537","3434","3731","3932",".4","12918","4115","5304","8.1","38.41099",".62","1.85905","1.06","NSDQ","20.57","15.94299","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","1050.69","60551.09","57.63","58.81","36.86","3.64","47.12","15.29","15.83","45.17","28.06","1.14719","YES"
"Advanced Micro Devices, Inc.","AMD","-5.00391","5329","43","69","262","0","2622","1486","1325",".63","68.44","2.17",".99798",".08","NSDQ","2.38","-9.0404","Computer and Technology","Electronics - Semiconductors","969.11","11542.1","11.91","14.76","9.9",".16","","-3.67","74.44","16.76","4.42","","YES"
"AMETEK, Inc.","AME","8.8913","4300.17","681.46997","796.71997","789.17999",".36","1934.65002","1138.66003","1866.16003","17.43","31.663",".46",".63757",".7","NYSE","7.97","12.18299","Computer and Technology","Electronics - Testing Equipment","231.34","17396.36","75.2","78.4","53.2","2.61","4.33","3.38","28.81","16.39","10.64","9.57709","YES"
"Affiliated Managers Group, Inc.","AMG","8.89719","2305","689.5","1067.09997","931.09997",".8","951.09997","1616.19995","1045.69995","82.37","28.86199",".23",".27193","4.68","NYSE","9.52","11.869","Finance","Financial - Investment Management","54.5","10254.01","188.16","215.76","149.51","14.63","9.88","1.48","12.86","18.61","12.6","","YES"
"Amgen Inc.","AMGN","10.675","22849","1979","9597","11201","4.59999","49476","9020","34190","34.77","57.52899","1.35","4.81208","2.89","NSDQ","11.64","13.305","Medical","Medical - Biomedical and Genetics","720.56","137000.5","190.13","198","153.02","12.58","15.32","6.51","15.11","30.87","14.69","24.583","YES"
"AMERIPRISE FINANCIAL SERVICES, INC.","AMP","1.1416","12027","1480","2214","2156.56005","3.24","8405","12463","5099","40.55","45.949",".85",".21022","3.26","NYSE","1.33","10.43","Finance","Financial - Investment Management","146.33","22772.22","155.62","182.04","120.79","12.29","13.12","1.99","12.66","31.03","16.9","13.005","YES"
"American Tower Corporation (REIT)","AMT","3.49769","6663.9","1238.90002","1256.09997","2974.80004","2.61999","2419.60009","1938.90002","19430.30078","15.92","73.997","2.85",".98303","1.59","NYSE","3.76","4.1359","Finance","REIT and Equity Trust - Other","428.86","58671.79","136.81","152.72","113","6.58","","19.1","20.79","17.2","4.83","24.808","YES"
"Amazon.com, Inc.","AMZN","1.2121","177866","3033","3806","13722","0","60197","57883","24743","57.5","47.173",".89",".53532","2.16","NSDQ","2.16","3.3113","Retail-Wholesale","Internet - Commerce","484.11","737590.56","1523.61","1523.61","843.2","4.56","113.42","22.89","334.13","9.23","5.54","","YES"
"Tesoro Corporation","ANDV","5.85729","34975","1528","1115","1956.23596","2.27999","6883","5001","7668","86","36.37099",".57",".25834",".37","NYSE","3.1","8.83329","Oils-Energy","Oil and Gas - Refining and Marketing","153.76","14523.06","94.45","121.13","75.49","5.55","9.97","-7.74","17.02","6.86","4.26","28.575","YES"
"ANSYS, Inc.","ANSS","10.75199","1095.25","259.25","395.69","381.00399","0","1270.26","608.54998","0","26.47","0","0","1.449","1.07","NSDQ","10.85","13.498","Computer and Technology","Computer - Software","83.87","13688.65","163.21","167.81","105.17","4","4.73","5.41","40.8","13.77","13.77","","YES"
"Anthem, Inc.","ANTM","4.4407","90039.4","3842.80004","3963.80004","4114.60009","2.7","36262.80078","23356","17382.19921","103.22","39.608",".66","1.17612","1.29","NYSE","4.67","7.1736","Medical","Medical - HMOs","255.72","59337.71","232.04","258.19","162.19","11.99","10.41","6.95","19.35","12.29","7.74","16.416","YES"
"Aon PLC","AON","5.9035","9998","1226","685","2589.89306","1.40999","3763","2260","5667","18.6","54.93899","1.22",".56858","2.35","NYSE","6.49","14.56799","Finance","Insurance - Brokerage","246.18","34805","141.38","152.38","115.54","6.54","9.74","-2.23","21.62","32.41","15.73","19.74399","YES"
"Smith (A.O.) Corporation","AOS","10.02499","2996.7","296.5","520.79998","448.39999",".56","1766.80004","788.5","402.89999","9.59","19.63699",".24","1.11249",".6","NYSE","12.38","15.49199","Industrial Products","Manufacturing - Electronics","171.93","10798.8","62.81","67.84","49.46","2.17","21.99","8.4","28.94","23.3","18.75","24.451","YES"
"Apache Corporation","APA","2.0055","6423","1304","918","2372","1","3725","2564","7934","23.08","47.43799",".9",".78471",".33","NYSE",".41","2.7994","Oils-Energy","Oil and Gas - Exploration and Production - United States","381.45","13430.78","35.21","53.99","34.15",".24","-55.98","-25.43","146.71","1.11",".56","6.1433","YES"
"Anadarko Petroleum Corporation","APC",".2331","11908","-456","-1688","3214.71997",".2","6762","3906","15547","25.2","52.99499","1.13","1.26292",".18","NYSE","-2.47",".45583","Oils-Energy","Oil and Gas - Exploration and Production - United States","532.49","31390.12","58.95","64.08","40.52","-1.96","-28.04","-12.53","","-7.48","-3.61","-27.414","YES"
"Air Products and Chemicals, Inc.","APD","7.8291","8187.6","3000.3999","1416.09997","2252.96997","3.61999","5876.70019","2489","3402.3999","47.14","24.861",".33","1.5926","1.79","NYSE","8.06","11.43599","Basic Materials","Chemical - Diversified ","218.94","35748.41","163.28","174","134.3","6.63","6.17","-4.39","24.63","14.8","11.03","6.8962","YES"
"Amphenol Corporation","APH","10.831","7011.3","650.5","1352.40002","1212.90002",".69999","4656","1579.40002","3541.5","13.24","46.691",".88","1.23496",".86","NYSE","11.01","14.05","Computer and Technology","Electronics - Connectors","305.48","27243.04","89.18","93.13","68.65","3.26","12.82","10.01","27.36","26.09","14.33","23.238","YES"
"Delphi Automotive PLC","APTV","13.44999","12884","1355","1255","1796","1.49329","5641","3540","4132","13.23","54.02","1.17",".5983","1.28","NYSE","12.88","25.17499","Business Services","Technology Services","265.84","23611.89","88.82","104.67","73.75","6.24","11.69",".66","14.23","50.01","21.96","14.05599","YES"
"Alexandria Real Estate Equities, Inc.","ARE","1.1603","1128.1","169.08999","178.38999","575.453","3.45","287.44","763.83001","4764.7998","63.19","42.464",".74",".36288","1.53","NYSE","1.56","1.24549","Finance","REIT and Equity Trust - Other","101.24","12653.85","124.99","134.03","108.18","6.02","7.36","14.14","20.76","3.08","1.68","7.04799","YES"
"Arconic Inc.","ARNC","1.99989","12960","-74","470","1888",".23999","6378","2824","6806","10.12","58.02199","1.4",".89376",".31","NYSE","3.2","3.15249","Basic Materials","Mining - Non Ferrous","482.77","11745.85","24.33","30.84","21.84","1.21","1.6","-10.66","20.11","11.29","4.89","-7.5098","YES"
"Activision Blizzard, Inc","ATVI","7.7824","7017","273","1151","2794",".3","6520","3663","4390","12.51","31.69199",".46","1.51678",".94","NSDQ","9.62","9.4635","Consumer Discretionary","Toys - Games - Hobbies","758.63","56973.23","75.1","75.1","47.07","2.4","18.52","10.23","31.29","17.48","12.01","11.982","YES"
"AvalonBay Communities, Inc.","AVB","4.21579","2158.63","876.91998","876.79998","1480.73095","5.67999","67.08","351.29998","7329.47021","75.23","41.38899",".71",".19094","2.25","NYSE","4.88","4.43889","Finance","REIT and Equity Trust - Residential","138.1","21553.95","156.08","199.1","153.9","8.62","9.74","11.99","18.11","8.57","5.07","7.1511","YES"
"Broadcom Limited","AVGO","17.26399","17636","1692","1825","11155.56152","4.07999","15823","2529","17431","56.83","42.916","","4.71648","4.59","NSDQ","12.68","21.21899","Computer and Technology","Electronics - Semiconductors","410.49","101382.08","246.98","284.62","209.2","16.01","51.31","63.74","15.43","28.64","17.42","45.60699","YES"
"Avery Dennison Corporation","AVY","7.0025","6613.8","281.79998","589.5","629.40002","1.75999","2237.8999","1971.80004","1316.30004","11.88","55.71599","1.26",".2272","1.33","NYSE","8.89","15.14099","Industrial Products","Office Supplies","87.93","10093.24","114.79","122.68","78.8","5.01","16.55",".5","22.91","42.26","19.16","11.118","YES"
"American Water Works","AWK","2.7597","3357","426","912","1033.16003","1.62","720","2325","6498","30.19","54.68299","1.21",".17505",".69","NYSE","2.83","4.3404","Utilities","Utility - Water Supply","178.55","14318.08","80.19","92.25","75.25","3.02","8.43","3.81","26.55","10.03","4.69","10.43999","YES"
"American Express Company","AXP","3.47889","33471","2736","7414","6626.3999","1.30999","163916","84980","55804","21","75.37899","3.06",".38746","1.58","NYSE","3.12","7.4758","Finance","Financial - Miscellaneous Services","860.28","83154.55","96.66","101.64","75.55","5.89","3.75","-.04","16.41","26","7.31","11.17599","YES"
"Acuity Brands Inc","AYI","10.062","3505.1","321.70001","492.6","419.05999",".51999","1245.59997","600.90002","356.5","40.95","17.118","",".57197","1.94","NYSE","11.66","14.227","Construction","Building Products - Lighting","42.16","6317","149.84","211.59","142.58","8.41","26.06","14.38","17.82","20.08","16.57","0","YES"
"AutoZone, Inc.","AZO","14.59","10888.68","1280.85998","1925.47998","1582.35205","0","4611.25","4766.2998","5081.22998","-55.76","","",".09408","10.38","NYSE","14.44","42.02399","Retail-Wholesale","Automotive - Retail and Wholesale - Parts","27.25","17869.84","655.75","796.95","493.15","46.96","12.99","4.76","13.96","-85.64","37.89","","YES"
"Boeing Company (The)","BA","5.9134","93392","8197","10047","9417.12695","5.67999","65161","56269","9782",".69","95.958","23.74",".17757","4.8","NYSE","8.1","37.34799","Aerospace","Aerospace - Defense","588.49","207589.95","352.75","364.64","175.62","12.08","7.89","2.6","29.2","-11050.62","73.89","27.808","YES"
"Bank of America Corporation","BAC",".62624","100264","18232","29213","25454",".38999","1590101","1752386","227402","23.8","45.98199",".93",".33707",".47","NYSE",".93","2.76029","Finance","Banks - Major Regional","10243.69","329129.78","32.13","32.5","22.23","1.82","28.6","-1.19","17.65","8.54","4.24","75.053","YES"
"Baxter International Inc.","BAX","8.98139","10561","717","1217","2137",".61","7263","2821","3509","16.73","27.794",".38","1.41616",".64","NYSE","8.18","13.84399","Medical","Medical - Products","540.14","36108.28","66.85","72.26","50.68","2.49","-20.3","-10.59","26.85","15.11","11.08","-30.93601","YES"
"BB&T Corporation","BBT","1.1502","12156","2394","3326","3095","1.25999","146393","168299","23648","34.07","44.332",".89",".01831",".82","NYSE","1.21","4.80119","Finance","Banks - Major Regional","778.29","42743.77","54.92","55.79","41.65","3.12",".89","3.1","17.6","9.93","5.15","8.5859","YES"
"Best Buy Co., Inc.","BBY","6.83419","42151","1000","1817","2041.01696","1.36","9829","7817","811","12.36","18.336",".22",".45682","2.42","NYSE","10.01","17.079","Retail-Wholesale","Retail - Consumer Electronics","292.33","21942.03","75.06","78.06","43.89","4.49","16","-2.75","16.72","32.68","26.08","18.642","YES"
"Becton, Dickinson and Company","BDX","8.06949","12093","1100","976","3209.10888","2.92","18633","3342","18667","79.74","50.978","1.04","4.50957","2.48","NYSE","5.74","11.13199","Medical","Medical - Dental Supplies","266.24","57846.51","217.27","246.28","177.07","9.64","13.15","13.02","22.54","16.19","7.19","9.8267","YES"
"Franklin Resources, Inc.","BEN","12.51399","6392.2","1696.69995","2549.10009","1849",".8","9751.5996","1114.69995","1097.59997","21.9","21.474",".09","7.84937",".88","NYSE","9.91","14.232","Finance","Financial - Investment Management","551.7","21726.09","39.38","47.28","38","3.11","-3.96","-5.91","12.66","13.88","11.03","19.57099","YES"
"Brown-Forman Corportaion","BF.B","15.892","3857","669","933","730.86297",".564","2351","970","1689","3.43","51.06999","",".5402",".5","NYSE","15.72","23.29599","Consumer Staples","Beverages - Alcohol","480.42","27153.41","56.52","56.52","36.38","1.54","7.19",".81","29.28","53.15","24.06","8.79969","YES"
"Brighthouse Financial, Inc.","BHF","","","","","","0","","","","115.48","20.721","","",".37","NSDQ","","","Finance","Insurance - Life Insurance","119.77","6316.83","52.74","67.46","51.95","","","","","","","","YES"
"Baker Hughes Incorporated","BHGE","1.64639","17259","36","-160","1325",".68999","18499","8897","6312","91.49","13.87699",".16",".88737",".15","NYSE",".07","2.13269","Oils-Energy","Oil and Gas - Field Services","422.58","11840.74","28.02","61.71","25.94",".05","-53.18","-17.3","560.4",".1",".09","16.62999","YES"
"Biogen Inc.","BIIB","21.00799","12273.9","2539.10009","5128.7998","5726.3999","0","7873.2998","3368.19995","5935","59.56","32.02399",".47","1.53898","5.26","NSDQ","20.72","26.197","Medical","Medical - Biomedical and Genetics","211.56","60707.92","286.95","367.91","246.54","21.81","28.38","16.86","13.16","38.32","25.71","","YES"
"Bank Of New York Mellon Corporation (The)","BK",".86593","16547","4090","4610","5439.16503",".86","205019","292953","31007","37.52","42.866",".82",".48822",".91","NYSE","1.12","5.1718","Finance","Banks - Major Regional","1009.75","56959.94","56.41","58.42","46.16","3.61","10.54","1.35","15.63","10.69","5.61","9.39579","YES"
"Booking Holdings Inc.","BKNG","18.652","12681.08","2340.76","4398.31982","4289.67822","0","9034.7998","3497.8601","10063.58984","230.89","47.193",".89","2.23479","16.86","NSDQ","10.16","23.127","Consumer Discretionary","Leisure and Recreation Services","48.29","100085.83","2072.6599","2072.66","1645.72","77.1","19.94","17.16","1.96","21.12","12.25","","YES"
"BlackRock, Inc.","BLK","1.44389","12491","4970","5277","3956","10","9737","3314","29573","197.93","48.476",".93","2.12371","6.24","NYSE","1.67","5.22189","Finance","Financial - Investment Management","161.05","87811.95","545.26","593.26","374.41","22.65","7.11","4.13","24.07","12.31","5.9","9.743","YES"
"Ball Corporation","BLL","5.49959","10983","374","514","1457",".365","3758","4107","6518","11.56","61.7","1.61",".1456",".6","NYSE","4.31","9.29899","Industrial Products","Containers - Metal and Glass","350.44","13993.15","39.93","42.93","35.76","2.03","3.27","3.89","16.57","19.24","6.69","6.83069","YES"
"Bristol-Myers Squibb Company","BMY","10.98499","20776","1007","5131","5759","1.55999","14854","9563","6975","7.24","37.05799",".59",".77256",".68","NYSE","14.85","17.082","Medical","Large Cap Pharmaceuticals","1632.58","109089.2","66.82","68.98","51.66","3.01","13.66","5.97","22.2","35.43","23.6","2.5069","YES"
"Berkshire Hathaway Inc.","BRK.B","3.19609","242137","44940","23838","23645","0","73909","276197","0","142.65","0","0",".11434","1.35","NYSE","2.14","6.9639","Finance","Insurance - Property and Casualty","2467.45","501484.34","203.24","217.25","161.26","5.86",".27","7.89","34.68","4.57","4.57","","YES"
"Boston Scientific Corporation","BSX","7.28599","9048","105","933","2601","0","3822","5654","3815","5.11","35.236",".54",".21153",".34","NYSE","9.48","11.168","Medical","Medical - Products","1374.91","37686.31","27.41","29.8","24.14","1.26","14.82","5.31","21.75","24.27","14.78","","YES"
"BorgWarner Inc.","BWA","9.03639","9799.3","439.89999","1063.59997","1299.40002",".58999","3543.19995","2425.19995","2103.69995","18.15","35.478",".55",".31255","1.07","NYSE","8.61","14.06599","Auto-Tires-Trucks","Automotive - Original Equipment","210.55","10258","48.72","57.91","37.99","3.89","6.21","6.32","12.52","21.92","14.08","4.3495","YES"
"Boston Properties, Inc.","BXP","2.66799","2602.08","462.42999","562.47998","1079.979","3.04999","1459.13","3394.41992","7292.33007","51.21","47.36899",".92",".14888","1.49","NYSE","2.39","3.6707","Finance","REIT and Equity Trust - Other","154.34","18730.65","121.36","136.87","112.09","6.21","5.77","5.88","19.54","5.86","3","3.6621","YES"
"Citigroup Inc.","C",".77499","87966","-6798","22761","18242",".95999","1357613","1345940","236709","70.98","53.99599","1.3",".49374","1.28","NYSE",".83","3.28439","Finance","Banks - Major Regional","2570.07","191264.3","74.42","80.08","57.72","5.33","5.45","-1.69","13.96","7.61","3.45","133.52","YES"
"CA Inc.","CA","9.498","4036","775","1073","1278.47399","1.01999","3733","3006","2773","13.67","30.555",".44",".98769",".75","NSDQ","7.68","15.06799","Computer and Technology","Computer - Software","416.92","14817.49","35.54","35.9","30.85","2.52","-4.89","-3.29","14.1","16.52","11.35",".54344","YES"
"Conagra Brands Inc.","CAG","5.9538","7826.9","639.29998","729.5","1018.94",".89999","2013.19995","1720.5","2769.19995","9.27","46.27799","",".29968",".55","NYSE","7.62","8.90919","Consumer Staples","Food - Miscellaneous","400.66","15140.98","37.79","41.5","32.43","1.86","-1.34","-15.25","20.32","19.58","11.35","-3.5733","YES"
"Cardinal Health","CAH","5.09999","129976","1288","1924","2444","1.8091","28345","21221","9068","24.22","54.347","1.19",".42391","1.31","NYSE","4.34","13.788","Medical","Medical - Dental Supplies","314.71","22155.37","70.4","83.8","55","5.24","9.66","8.4","13.44","24.81","11.48","12.185","YES"
